ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Unnamed_Column_11,Unnamed_Column_12
13512915,JH327310,06/30/2024 09:05:00 AM,026XX S HARDING AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1031,010
13513682,JH327021,06/30/2024 12:45:00 AM,005XX E 77TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,True,0624,006
13511302,JH324958,06/28/2024 11:46:00 AM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,0111,001
13511005,JH325148,06/28/2024 02:45:00 PM,031XX N BROADWAY,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1934,019
13510545,JH324461,06/28/2024 02:14:00 AM,049XX W QUINCY ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,False,1533,015
13512793,JH327062,06/30/2024 02:29:00 AM,013XX W 110TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,2234,022
13512027,JH326200,06/29/2024 12:43:00 PM,025XX W CERMAK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1023,010
13515322,JH330249,06/29/2024 09:00:00 AM,082XX S CRANDON AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,0414,004
13516578,JH330777,06/30/2024 03:00:00 PM,020XX E 72ND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0333,003
13513188,JH327764,06/30/2024 10:00:00 AM,004XX W 37TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0915,009
13512134,JH326460,06/29/2024 03:27:00 PM,082XX S STONY ISLAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,0411,004
13511631,JH325627,06/28/2024 10:55:00 PM,003XX N DESPLAINES ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,1214,012
13512521,JH326885,06/29/2024 10:15:00 PM,012XX S TROY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,True,1022,010
13511349,JH325161,06/28/2024 01:00:00 PM,018XX S MILLARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1014,010
