INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
275142941,09/29/2023,00:30:00,QUEENS,OUTSIDE,102,0,STREET,PVT HOUSE,False,25-44,M,BLACK,18-24,F,WHITE,1033435,193797,40.69847,-73.822618,POINT (-73.822618 40.69847)
273707248,08/30/2023,12:49:00,QUEENS,OUTSIDE,108,0,STREET,(null),False,25-44,M,BLACK HISPANIC,UNKNOWN,M,UNKNOWN,1013575,208711,40.739494,-73.894176,POINT (-73.894176 40.739494)
272166648,07/31/2023,22:00:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),False,18-24,M,BLACK,25-44,M,BLACK HISPANIC,988039,201397,40.719466,-73.986331,POINT (-73.986331 40.719466)
274180041,09/10/2023,01:28:00,BRONX,OUTSIDE,47,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1022732,265194,40.894489,-73.86081,POINT (-73.86081 40.894489)
268973603,05/27/2023,21:15:00,QUEENS,INSIDE,113,0,DWELLING,MULTI DWELL - APT BUILD,True,45-64,F,BLACK,25-44,M,BLACK,1052364,187814,40.681921,-73.754415,POINT (-73.754415 40.681921)
267811917,05/05/2023,22:10:00,BRONX,OUTSIDE,48,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK HISPANIC,1016100,247338,40.845504,-73.88488,POINT (-73.88488 40.845504)
278581538,12/06/2023,01:55:00,MANHATTAN,OUTSIDE,33,0,COMMERCIAL,RESTAURANT/DINER,False,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1000322,244630,40.838114,-73.941915,POINT (-73.941915 40.838114)
271818282,07/24/2023,02:40:00,BRONX,INSIDE,46,0,COMMERCIAL,BAR/NIGHT CLUB,True,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1011329,249447,40.851308,-73.902116,POINT (-73.902116 40.851308)
271818282,07/24/2023,02:40:00,BRONX,INSIDE,46,0,COMMERCIAL,BAR/NIGHT CLUB,True,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1011329,249447,40.851308,-73.902116,POINT (-73.902116 40.851308)
273759138,08/31/2023,22:01:00,BROOKLYN,INSIDE,75,0,DWELLING,MULTI DWELL - APT BUILD,True,(null),(null),(null),25-44,M,BLACK,1013645,182937,40.668749,-73.894035,POINT (-73.894035 40.668749)
270373347,06/24/2023,19:45:00,BRONX,OUTSIDE,45,0,STREET,(null),False,<18,M,BLACK,<18,M,BLACK HISPANIC,1026992,245049,40.83917467,-73.84553047,POINT (-73.84553047 40.83917467)
271104893,07/10/2023,22:48:00,BRONX,OUTSIDE,44,0,STREET,(null),False,<18,M,BLACK,<18,F,BLACK,1008352,243611,40.83529832929978,-73.9129005141128,POINT (-73.9129005141128 40.83529832929978)
273846994,09/03/2023,04:07:00,BROOKLYN,OUTSIDE,83,0,STREET,(null),True,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1008056,194042,40.699245,-73.914143,POINT (-73.914143 40.699245)
268390098,05/17/2023,06:28:00,BRONX,OUTSIDE,50,0,STREET,(null),True,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1012305,260618,40.881967,-73.898543,POINT (-73.898543 40.881967)
272881672,08/14/2023,05:55:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1001028,240331,40.826315,-73.939375,POINT (-73.939375 40.826315)
270656694,07/01/2023,02:40:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK,1011060,178314,40.656069,-73.903373,POINT (-73.903373 40.656069)
278784204,12/09/2023,21:45:00,BROOKLYN,OUTSIDE,70,0,STREET,(null),False,(null),(null),(null),25-44,M,WHITE,996733,162283,40.612098,-73.955039,POINT (-73.955039 40.612098)
273837715,09/02/2023,04:19:00,QUEENS,OUTSIDE,102,0,STREET,(null),True,18-24,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,1034048,190856,40.690394,-73.820431,POINT (-73.820431 40.690394)
