VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/01/2021 01:14:42 AM,01/01/2021 01:30:00 AM,1,4.95,1,N,90,151,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5
2,01/01/2021 12:28:48 AM,01/01/2021 12:35:59 AM,1,1.78,1,N,141,142,1,8,0.5,0.5,1.18,0,0.3,12.98,2.5
2,01/01/2021 01:32:12 AM,01/01/2021 01:49:42 AM,5,3.69,1,N,230,145,2,14.5,0.5,0.5,0,0,0.3,18.3,2.5
2,01/01/2021 12:27:55 AM,01/01/2021 12:33:24 AM,1,2.36,1,N,162,263,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,01/01/2021 12:42:13 AM,01/01/2021 12:49:12 AM,2,1.2,1,N,249,148,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,01/01/2021 01:07:08 AM,01/01/2021 01:12:52 AM,2,0.88,1,N,48,230,1,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2021 02:05:06 AM,01/01/2021 02:09:09 AM,2,0.79,1,N,238,239,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,01/01/2021 12:29:33 AM,01/01/2021 12:57:06 AM,2,8.9,1,N,230,95,1,29,0.5,0.5,9.84,0,0.3,42.64,2.5
1,01/01/2021 12:49:41 AM,01/01/2021 01:09:07 AM,1,5.5,1,N,74,193,2,19,3,0.5,0,0,0.3,22.8,2.5
2,01/01/2021 01:16:00 AM,01/01/2021 01:23:26 AM,2,2.02,1,N,229,236,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2021 02:35:19 AM,01/01/2021 02:37:51 AM,1,1.14,1,N,79,137,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,01/01/2021 01:36:11 AM,01/01/2021 01:42:07 AM,6,1.7,1,N,246,143,1,7.5,0.5,0.5,3.7,0,0.3,15,2.5
1,01/01/2021 01:40:50 AM,01/01/2021 01:53:21 AM,1,3.4,1,N,97,79,1,13,3,0.5,3.35,0,0.3,20.15,2.5
1,01/01/2021 12:30:03 AM,01/01/2021 01:01:30 AM,1,19.9,1,Y,79,203,2,54.5,3,0.5,0,0,0.3,58.3,2.5
2,01/01/2021 12:21:38 AM,01/01/2021 12:33:42 AM,2,1.57,1,N,230,162,1,9,0.5,0.5,2.3,0,0.3,15.1,2.5
1,01/01/2021 01:11:42 AM,01/01/2021 01:15:06 AM,1,0.8,1,N,95,134,2,5,0.5,0.5,0,0,0.3,6.3,0
1,01/01/2021 01:50:17 AM,01/01/2021 02:04:04 AM,1,4.6,1,Y,170,24,2,15,3,0.5,0,0,0.3,18.8,2.5
1,01/01/2021 12:32:24 AM,01/01/2021 12:46:45 AM,1,5.5,1,Y,164,261,2,18.5,3,0.5,0,0,0.3,22.3,2.5
2,01/01/2021 01:10:37 AM,01/01/2021 01:21:52 AM,1,4,1,N,170,74,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
2,01/01/2021 12:07:45 AM,01/01/2021 12:12:22 AM,1,0.54,1,N,148,232,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,01/01/2021 12:55:02 AM,01/01/2021 01:05:47 AM,1,2.64,1,N,114,68,1,10.5,0.5,0.5,2.5,0,0.3,16.8,2.5
2,01/01/2021 01:11:53 AM,01/01/2021 01:27:02 AM,1,7.15,1,N,163,116,2,22,0.5,0.5,0,0,0.3,25.8,2.5
2,01/01/2021 01:38:11 AM,01/01/2021 01:41:38 AM,5,0.73,1,N,24,238,1,5,0.5,0.5,0,0,0.3,6.3,0
2,01/01/2021 01:54:26 AM,01/01/2021 01:55:34 AM,1,0.1,1,N,223,223,2,3,0.5,0.5,0,0,0.3,4.3,0
2,01/01/2021 01:05:47 AM,01/01/2021 01:10:55 AM,1,1.52,1,N,162,141,1,6.5,0.5,0.5,2.58,0,0.3,12.88,2.5
2,01/01/2021 01:17:53 AM,01/01/2021 01:20:50 AM,1,0.85,1,N,239,238,1,4.5,0.5,0.5,2.49,0,0.3,10.79,2.5
2,01/01/2021 01:36:00 AM,01/01/2021 01:41:41 AM,2,1.58,1,N,239,48,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
1,01/01/2021 12:23:52 AM,01/01/2021 12:34:32 AM,1,2,1,N,143,68,1,9.5,3,0.5,4.7,0,0.3,18,2.5
2,01/01/2021 12:59:01 AM,01/01/2021 01:05:01 AM,2,2.46,1,N,236,233,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5
2,01/01/2021 01:11:31 AM,01/01/2021 01:27:28 AM,1,4.2,1,N,41,233,1,15,0.5,0.5,2.5,0,0.3,21.3,2.5
1,01/01/2021 12:07:34 AM,01/01/2021 12:15:51 AM,1,3.8,1,N,75,145,2,12,3,0.5,0,0,0.3,15.8,2.5
2,01/01/2021 12:29:18 AM,01/01/2021 12:36:37 AM,1,2.08,1,N,238,74,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
1,01/01/2021 02:55:37 AM,01/01/2021 03:05:45 AM,1,2.3,1,N,48,238,2,10,3,0.5,0,0,0.3,13.8,2.5
1,01/01/2021 02:16:40 AM,01/01/2021 02:27:30 AM,1,1.7,1,N,170,48,2,9,3,0.5,0,0,0.3,12.8,2.5
1,01/01/2021 12:27:30 AM,01/01/2021 12:29:30 AM,1,0.4,1,N,107,107,1,3.5,3,0.5,1.45,0,0.3,8.75,2.5
2,01/01/2021 12:17:18 AM,01/01/2021 12:20:56 AM,1,0.49,1,N,148,232,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,01/01/2021 01:39:41 AM,01/01/2021 01:48:52 AM,1,2.5,1,Y,137,50,2,10,3,0.5,0,0,0.3,13.8,2.5
2,01/01/2021 12:03:09 AM,01/01/2021 12:46:03 AM,1,19.51,2,N,132,48,2,52,0,0.5,0,0,0.3,55.3,2.5
1,01/01/2021 12:56:20 AM,01/01/2021 01:17:04 AM,3,5.4,1,N,48,7,2,19,3,0.5,0,0,0.3,22.8,2.5
2,01/01/2021 12:12:43 AM,01/01/2021 12:20:09 AM,1,1.68,1,N,230,239,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
1,01/01/2021 01:32:43 AM,01/01/2021 02:01:42 AM,1,7.8,1,N,48,61,1,26.5,3,0.5,7.55,0,0.3,37.85,2.5
2,01/01/2021 12:42:37 AM,01/01/2021 12:49:21 AM,1,0.9,1,N,158,113,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2021 12:46:46 AM,01/01/2021 01:01:39 AM,6,3.71,1,N,48,151,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,01/01/2021 01:40:09 AM,01/01/2021 01:57:17 AM,4,4.92,1,N,236,249,1,16.5,0.5,0.5,4.06,0,0.3,24.36,2.5
2,01/01/2021 01:11:16 AM,01/01/2021 01:22:18 AM,2,2.89,1,N,90,142,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
1,01/01/2021 01:42:43 AM,01/01/2021 01:52:38 AM,2,1.6,5,N,125,265,2,0,0,0,0,11.75,0.3,12.05,0
2,01/01/2021 01:36:04 AM,01/01/2021 01:43:06 AM,1,1.93,1,N,148,88,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
1,01/01/2021 12:14:25 AM,01/01/2021 12:23:20 AM,1,0.8,1,N,234,234,1,7.5,3,0.5,2,0,0.3,13.3,2.5
2,01/01/2021 12:25:53 AM,01/01/2021 12:32:41 AM,1,1.14,1,N,50,162,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
