credentialid,name,type,businessname,dba,fullcredentialcode,credentialtype,credentialnumber,credentialsubcategory,Unnamed_Column_10
"504,522",WALGREENS #09821,CORPORATION,WALGREENS #09821,WALGREENS 9821,PCY.0000956,PCY,956,,PHARMACY
"38,671",CVS PHARMACY #1149,CORPORATION,CVS PHARMACY #1149,,PCY.0001370,PCY,"1,370",,PHARMACY
"1,042,156",PFIZER NEW HAVEN CLINICAL RESEARCH UNIT,BUSINESS,PFIZER NEW HAVEN CLINICAL RESEARCH UNIT,,PCY.0002228,PCY,"2,228",,PHARMACY
"387,327",WALGREENS #07258,CORPORATION,WALGREENS #07258,WALGREENS 7258,PCY.0001922,PCY,"1,922",,PHARMACY
"37,548",CVS PHARMACY #1070,LIMITED LIABILITY COMPANY,CVS PHARMACY #1070,,PCY.0000703,PCY,703,,PHARMACY
"242,630",CVS/PHARMACY #16633,LIMITED LIABILITY COMPANY,CVS/PHARMACY #16633,,PCY.0001755,PCY,"1,755",,PHARMACY
"247,605",WALGREENS #18969,CORPORATION,WALGREENS #18969,WALGREENS #18969,PCY.0001437,PCY,"1,437",,PHARMACY
"38,440",STOP & SHOP SUPERMARKET COMPANY LLC,LIMITED LIABILITY COMPANY,STOP & SHOP SUPERMARKET COMPANY LLC,,PCY.0001269,PCY,"1,269",,PHARMACY
"304,168",WAL-MART PHARMACY #10-2585,BUSINESS,WAL-MART PHARMACY #10-2585,,PCY.0001802,PCY,"1,802",,PHARMACY
"38,897",GRADE-A-MARKET PHARMACY,BUSINESS,GRADE-A-MARKET PHARMACY,,PCY.0001440,PCY,"1,440",,PHARMACY
"38,217",RITE AID #10369,CORPORATION,RITE AID #10369,RITE AID #10369,PCY.0001179,PCY,"1,179",,PHARMACY
"2,509,021",UNITY PHARMACY LLC,LIMITED LIABILITY COMPANY,UNITY PHARMACY LLC,UNITY PHARMACY,PCY.0002478,PCY,"2,478",,PHARMACY
"149,954",CVS PHARMACY #2119,LIMITED LIABILITY COMPANY,CVS PHARMACY #2119,,PCY.0001683,PCY,"1,683",,PHARMACY
"2,213,974",MADISON PHARMACY,CORPORATION,MADISON PHARMACY,,PCY.0002434,PCY,"2,434",,PHARMACY
