Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210153,2021,12/13/2021,Glastonbury,999 NEIPSIC RD,"$281,600.00","$460,000.00",0.6121,Residential,Single Family,,,,POINT (-72.546326012 41.700485)
200694,2020,04/12/2021,Manchester,28 MIDDLE TURNPIKE EAST,"$96,600.00","$168,000.00",0.575,Residential,Single Family,25 - Other,EXECUTORS DEED,,
21011,2021,10/06/2021,Guilford,255 DURHAM RD,"$218,740.00","$340,000.00",0.6433,Residential,Single Family,,,,POINT (-72.688509995 41.30519101)
10059,2001,09/04/2002,Warren,13 PARTRIDGE RD,"$173,250.00","$274,900.00",0.630229174,,,7,,,
200042,2020,11/09/2020,Coventry,57 HICKORY DR,"$100,600.00","$201,000.00",0.5004,Residential,Single Family,,,,
200394,2020,04/13/2021,East Haven,19 FARVIEW AVE,"$146,250.00","$291,000.00",0.5025,Residential,Single Family,,,,
210099,2021,12/16/2021,Bloomfield,72 TARIFFVILLE ROAD,"$269,710.00","$390,000.00",0.6915,Vacant Land,,24 - Plottage,ONE SALES PRICE FOR 3 PARCELS,,POINT (-72.75822899 41.897976008)
2011391,2020,03/15/2021,Griswold,4 COMMERCE CIRCLE,"$49,350.00","$80,000.00",0.616875,Vacant Land,,25 - Other,"sold together with lots 3,4,5 and 6",,POINT (-72.72397 41.48224)
210255,2021,12/10/2021,Hamden,202 BELDEN RD,"$108,150.00","$235,000.00",0.4602,Residential,Single Family,,,,POINT (-72.950495013 41.354379999)
212036,2021,08/08/2022,Bridgeport,540 JAMES ST,"$252,150.00","$650,000.00",0.3879,Commercial,,,,,POINT (-73.204413035 41.183766989)
210287,2021,11/09/2021,Bridgeport,2600 PARK AVE UNIT 6C,"$59,670.00","$65,000.00",0.918,Residential,Condo,25 - Other,DISTRESS SALE,,POINT (-73.215320992 41.193990019)
21070,2021,11/18/2021,Stafford,155 WALES RD,"$35,140.00","$34,350.00",1.0229,Vacant Land,,,,,POINT (-72.252703856 42.016435568)
210034,2021,10/06/2021,Bristol,61-63 WOODING ST,"$113,400.00","$210,000.00",0.54,Residential,Three Family,,,,POINT (-72.937711018 41.683592993)
21088,2021,08/05/2022,Deep River,CASTLE HEIGHTS,"$38,430.00","$27,500.00",1.3974,Vacant Land,,,,,POINT (-72.436078278 41.394492871)
200668,2020,02/26/2021,Greenwich,105 PARSONAGE ROAD,"$3,788,120.00","$5,200,000.00",0.7284,Residential,Single Family,,,,POINT (-73.62755 41.06154)
200218,2020,12/30/2020,Groton,113 LAURELWOOD RD,"$118,860.00","$245,500.00",0.484154786,Residential,Single Family,,,,POINT (-72.04774 41.34944)
210099,2021,05/04/2022,Brooklyn,116 WINDHAM RD,"$226,400.00","$450,000.00",0.5031,Residential,Single Family,,,,POINT (-71.985156002 41.776263021)
211156,2021,09/01/2022,New Britain,757 WEST MAIN ST,"$209,650.00","$289,900.00",0.7231,Commercial,,,,,POINT (-72.808002994 41.666880986)
2000188,2020,02/17/2021,Cheshire,28 S MAIN ST,"$336,850.00","$565,000.00",0.5961,Commercial,,,,,
210772,2021,06/08/2022,Fairfield,255 ALDEN STREET,"$359,380.00","$600,000.00",0.5989,Residential,Single Family,,,,POINT (-73.256861034 41.132299002)
21066,2021,03/03/2022,Haddam,14 BARTMAN RD,"$213,350.00","$382,000.00",0.558507853,Residential,Single Family,,,,POINT (-72.556806995 41.444609008)
200653,2020,03/30/2021,Manchester,69 GREEN MANOR ROAD,"$115,600.00","$220,000.00",0.5254,Residential,Single Family,25 - Other,TRUSTEES DEED,,POINT (-72.50165 41.78936)
21241,2021,05/26/2022,Monroe,3 SHERWOOD PL,"$177,900.00","$412,609.00",0.4311,Residential,Single Family,,,,POINT (-73.269281002 41.323392019)
201228,2020,08/27/2021,Bristol,535 EAST RD,"$130,270.00","$272,000.00",0.4789,Residential,Three Family,,,,POINT (-72.93121 41.66609)
211036,2021,07/20/2022,Hamden,6 SUNNYSIDE AVE,"$142,030.00","$299,900.00",0.4735,Residential,Single Family,,,,POINT (-72.899619962 41.39746998)
210013,2021,10/05/2021,Danbury,12 BOULEVARD 24-142,"$193,300.00","$410,100.00",0.4713,Residential,Condo,,E16006-142,,POINT (-73.498683969 41.378973006)
210052,2021,08/29/2022,Morris,63 KENYON RD,"$296,220.00","$675,000.00",0.4388,Residential,Single Family,,,,POINT (-73.239119981 41.667028005)
