Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Bridgewater,00017700,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00880 MAIN ST SOUTH-BOAT RAMP,CONNECTICUT STATE OF,1.35,14/575,"$176,200","$105,000","$281,200","$281,200",POINT (-73.349575025 41.480717995)
Canaan,12105139,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RT 7 N,CONNECTICUT STATE OF,3.77,40/129,"$78,100",$0,"$78,100","$78,100",POINT (-73.33104 42.02767)
East Hartford,00006596,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00200 HILLS ST,STATE OF CONNECTICUT,0.61,335/272,"$5,030",$0,"$5,030","$5,030",POINT (-72.596179984 41.74136539)
Bethany,00042300,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",00631 AMITY RD,CONNECTICUT STATE OF,3.67,25/278,"$154,450","$1,052,450","$1,206,900","$1,206,900",POINT (-72.993976973 41.433470003)
Colchester,C0515900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WESTCHESTER RD,CONNECTICUT STATE OF,0.66,124/945,"$38,800",$0,"$38,800","$38,800",POINT (-72.406004975 41.560038467)
Enfield,000600020225,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00170 ELM ST,CONNECTICUT STATE OF,36.7,2371/313,"$7,559,000","$26,742,600","$34,301,600","$34,301,600",POINT (-72.569670031 41.997354995)
Columbia,00067600,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 RT 6,CONN STATE OF - DOT,0.6,124/19,"$35,280",$0,"$35,280","$35,280",POINT (-72.30820907 41.725095485)
Fairfield,17202,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00019 MILL HILL ROAD,STATE OF CONNECTICUT,0.04,667/488,"$4,200",$0,"$4,200","$4,200",POINT (-73.280056242 41.14067333)
Haddam,R0532800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RIVER FRONT,CONN STATE OF MUNICIPAL DIV,23,0/0,"$7,000",$0,"$7,000","$7,000",POINT (-72.47738693 41.464653554)
Hamden,2626069000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00416 HOWARD DR,CONNECTICUT STATE OF,0.46,535/118,"$37,590",$0,"$37,590","$37,590",POINT (-72.933415715 41.380659642)
Berlin,1461452,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WILDERMERE RD,STATE OF CONNECTICUT DEPARTMENT OF TRANS,0.04,767/72,"$2,200",$0,"$2,200","$2,200",POINT (-72.760455564 41.610881403)
Bolton,10001579,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",04960 BOSTON TPKE,CONNECTICUT STATE OF,3.12,87/145,"$17,500",$0,"$17,500","$17,500",POINT (-72.46325408 41.784075748)
Hamden,2824004000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01440 DUNBAR HILL RD,CONNECTICUT STATE OF,0.86,579/2,"$51,100",$0,"$51,100","$51,100",POINT (-72.943062432 41.393400016)
Granby,10400004S,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00004S NORTH GRANBY RD,CONNECTICUT STATE OF,0.03,446/606,$70,$0,$70,$70,POINT (-72.790520783 41.954690641)
Easton,00297834,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,144.41,383/17,"$189,000","$46,620","$235,620","$235,620",POINT (-73.320495412 41.246493324)
Cornwall,98106032,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOWN ST,CONNECTICUT STATE OF,335,0/0,"$91,500",$0,"$91,500","$91,500",POINT (-73.312366999 41.888159949)
Avon,1780003,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",3 CHIDSEY RD,CONNECTICUT STATE OF,20.6,38/383,"$1,153,600","$406,250","$1,559,850","$1,559,850",POINT (-72.821393 41.798425988)
Hamden,2723003000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01130 MAIN ST,CONNECTICUT STATE OF,22.91,701/918,"$190,890",$0,"$190,890","$190,890",POINT (-72.949864023 41.386459009)
Kent,00165800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SOUTH KENT RD,CONNECTICUT STATE OF,0.56,0/0,"$4,700",$0,"$4,700","$4,700",POINT (-73.474812824 41.659427158)
Clinton,D0149000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00002 20' RIGHT OF WAY,CONNECTICUT STATE OF,0.45,297/1135,"$85,300",$0,"$85,300","$85,300",POINT (-72.513251417 41.286166612)
Enfield,090100010030,OABX,"Administrative (office buildings, court houses, any others)",00111 PHOENIX AVE,CONN STATE OF,4.78,484/174,"$602,500","$4,584,700","$5,187,200","$5,187,200",POINT (-72.582886029 41.971617985)
Fairfield,17178,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00102 DUKA AVENUE,STATE OF CONNECTICUT,0.03,551/203,"$13,440",$0,"$13,440","$13,440",POINT (-73.233663197 41.165339854)
Haddam,T0672400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TINKER RD,CONN STATE OF MUNICIPAL DIV,396.6,0/0,"$175,470",$0,"$175,470","$175,470",POINT (-72.50472 41.47439)
Branford,11144,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 NO BRANFORD RD,CONNECTICUT STATE OF,53.37,402/283,"$1,515,400",$0,"$1,515,400","$1,515,400",POINT (-72.777970019 41.301269624)
East Hampton,R20046,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 GADPOUCH RD,CONNECTICUT STATE OF,74.17,0/0,"$6,750",$0,"$6,750","$6,750",POINT (-72.559294995 41.574500008)
Hartford,295572009,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00190 HUYSHOPE AVE,STATE OF CONN PUBLIC WORKS,1.46,1725/106,"$228,410","$49,140","$277,550","$277,550",POINT (-72.661961994 41.754770983)
Bristol,0256560,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 GINA ST,STATE OF CONNECTICUT,0.13,1010/321,"$30,740",$0,"$30,740","$30,740",POINT (-72.900283457 41.66941236)
Deep River,00042700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00059 TOWER HILL RD,STATE OF CONNECTICUT,83.81,161/79,"$356,440",$0,"$356,440","$356,440",POINT (-72.514937453 41.355971092)
Deep River,00049300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CEDAR SWAMP RD,STATE OF CONNECTICUT,179,0/0,"$48,860",$0,"$48,860","$48,860",POINT (-72.487927913 41.371116993)
Kent,00002200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00262 SCHAGHTICOKE RD,CONNECTICUT STATE OF,400,0/0,"$1,346,200","$194,100","$1,540,300","$1,540,300",POINT (-73.508991028 41.692578016)
Andover,158,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BAILEY RD,CONNECTICUT STATE OF,40,29/1,"$39,200",$0,"$39,200","$39,200",POINT (-72.406948925 41.761425435)
Colchester,C0518400,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",00015 OLD HARTFORD RD,CONNECTICUT STATE OF,2.8,59/87,"$288,100","$1,069,900","$1,358,000","$1,358,000",POINT (-72.339363998 41.578659989)
Kent,00117400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MACEDONIA BROOK RD,CONNECTICUT STATE OF,80,33/210,"$397,800",$0,"$397,800","$397,800",POINT (-73.493872852 41.762827743)
Branford,11152,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 EAST MAIN ST REAR,CONNECTICUT STATE OF BD OF,26.18,184/454,"$110,000",$0,"$110,000","$110,000",POINT (-72.777737943 41.297376049)
Guilford,8811,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00593 BOSTON POST RD,STATE OF CONN,5.22,127/170,"$608,440","$438,830","$1,047,270","$1,047,270",POINT (-72.667508969 41.289374987)
Hartland,98100918,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HOGBACK RD,STATE OF CONNECTICUT,0.54,0/0,$760,$0,$760,$760,POINT (-73.017678183 41.987857788)
Branford,11141,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WEST MAIN ST,CONNECTICUT STATE OF HIGHWAY,0.46,0/0,"$21,400",$0,"$21,400","$21,400",POINT (-72.843417838 41.279135008)
East Hampton,R20024,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 COLCHESTER AVE,CONNECTICUT STATE OF,12.2,0/0,"$128,560",$0,"$128,560","$128,560",POINT (-72.468536521 41.5651742)
Easton,00037500,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 VALLEY ROAD,STATE OF CONNECTICUT,12,383/17,"$3,290",$0,"$3,290","$3,290",POINT (-73.326475184 41.277730641)
Bloomfield,R90229,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00061 KENWOOD CIR,CONNECTICUT STATE OF,5.9,314/96,"$21,800",$0,"$21,800","$21,800",POINT (-72.725808784 41.810658524)
Bloomfield,R90187,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00001 TAFT AVE,CONNECTICUT STATE OF,0.19,497/237,"$18,340",$0,"$18,340","$18,340",POINT (-72.704734831 41.817351217)
Canterbury,00206100,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 PACKER RD,CONNECTICUT STATE OF,0.06,65/884,$800,$0,$800,$800,POINT (-71.958254542 41.660109852)
