Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,"$93,986","$1,187.06","$2,452.94",N20
ABS,Alcohol Beverage Services,ABS 85 Montrose,M,"$68,828.7375","$1,108.43",$0,14
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,F,"$84,903.9612",$122.46,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,"$41,943.1365",$915.57,$0,12
ABS,Alcohol Beverage Services,ABS 85 Walnut Hill,M,"$59,457.09","$2,349.19",$0,14
ABS,Alcohol Beverage Services,ABS 85 Stock Liquor and Wine Warehouse Operations,M,"$51,509.9832","$1,895.7",$0,13
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,"$72,463",$308.82,"$1,396.88",14
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$52,080.82","$1,791.42",$0,15
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,"$52,456.0563","$2,287.77",$0,14
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$42,277.68","$1,472.07",$0,10
ABS,Alcohol Beverage Services,ABS 85 Aspen Hill,F,"$21,862",$107.54,$0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,"$58,877.7277","$5,992.54",$0,13
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,"$72,559.2339",$456.28,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Wheaton,M,"$62,607.6301","$1,674.66",$0,14
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$70,643.76","$5,864.53",$0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$75,621","$11,131.12",$0,15
ABS,Alcohol Beverage Services,ABS 85 Potomac,M,"$68,435.09",$492.59,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,M,"$137,728",$0,$0,M2
ABS,Alcohol Beverage Services,ABS 85 Purchasing,M,"$117,424",$0,$0,N25
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$42,126.025","$3,154",$0,10
ABS,Alcohol Beverage Services,ABS 85 Administration,M,"$175,873",$0,$0,M2
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,"$64,829.58","$6,895.97",$0,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,"$69,805.575","$5,951.34",$0,N17
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,"$75,500",$0,$0,18
