the_geom,OBJECTID,Business Name,Address,Suite,Zip,Phone Number
POINT (-90.09218830281 29.927597472845),36,"DISCOUNT ZONE, INC",3434 ST CHARLES AVE,,70115,504-258-1222
POINT (-90.029849711174 29.968922932795),56,KEY'S FUEL MART 3,4401 N ROBERTSON ST,,70117,
POINT (-90.073235925465 29.989444049045),70,PARIS AVENUE SUPERETTE,2025 GENTILLY BLVD,,70119,
POINT (-90.076989294557 29.951922709288),45,FUEL EXPRESS MART,6500 I 10 SERVICE RD,,70126,504-376-7699
POINT (-90.097394809839 29.965075079777),83,TULANE SHELL,3321 TULANE AVE,,70119,
POINT (-90.093872548237 29.92132042023),54,JETGO,3720 MAGAZINE ST,,70115,504-269-0246
POINT (-90.017773670882 30.008998044946),30,DISCOUNT -N- OUT,6050 CHEF MENTEUR HWY,,70126,504-248-5772
POINT (-90.059070365526 29.989534644461),39,ELYSIAN 167,3032 ELYSIAN FIELDS AVE,,70122,
POINT (-90.079294138276 29.956926728239),72,QUICK TRIP DISCOUNT,1635 TULANE AVE,,70112,504-382-5335
POINT (-90.096510214866 29.940894853892),29,DELTA FUEL PLUS,3300 S CLAIBORNE AVE,,70125,504-895-1126
POINT (-90.056793456953 29.973799538531),62,MAGNOLIA DISCOUNT,1601 ELYSIAN FIELDS AVE,,70117,504-250-3914
POINT (-90.011466385707 30.037513036258),48,FUEL N MART,7220 HAYNE BLVD,,70126,
POINT (-90.018529134678 29.92403131143),11,BROTHERS,3622 GENERAL DE GAULLE DR,,70114,
POINT (-90.007897834289 29.917512281679),2,4600 DE GAULLE LLC,4600 GENERAL DE GAULLE DR,,70131,(504)428-4146
POINT (-90.073182612543 29.943511889095),22,CIRCLE K #2707672,704 HOWARD AVE,,70130,504-586-3042
POINT (-90.02147218228 30.018821694663),32,DISCOUNT WAVE,4901 DOWNMAN RD,,70126,
POINT (-90.058828593718 30.00028357776),71,PETRO SAVE,3201 GENTILLY BLVD,,70127,
POINT (-90.041997317751 30.002939361841),51,GENTILLY CHEVRON,4046 CHEF MENTEUR HWY,,70126,504-279-6013
POINT (-90.026927059225 30.03235586433),77,SPEED RACER,8020 DOWNMAN RD,104,70126,504-248-2005
POINT (-90.089249979978 29.946401856865),85,UPTOWN CENTER,2013 S CLAIBORNE AVE,D,70125,
POINT (-90.084168083775 29.970220293931),13,BROWN DERBY FUEL MART,617 N BROAD ST,,70119,
POINT (-90.057488226263 29.982677189341),65,MARDI GRAS TRAVEL PLAZA,2411 ELYSIAN FIELDS AVE,,70117,
POINT (-89.928363942064 30.031240467225),67,MICHOUD BIGCAT,13245 CHEF MENTEUR HWY,,70129,
POINT (-90.082290954478 29.926457491658),61,MAGAZINE SPUR,2727 MAGAZINE ST,,70130,504-895-2001
POINT (-90.099351998937 29.965119915229),14,BROWN DERBY SUPERSTORE,3402 TULANE AVE,,70119,
POINT (-90.011817501974 30.011252200005),20,CHEF EXPRESS,6601 CHEF MENTEUR HWY,,70122,
POINT (-90.020718895772 30.010555099322),37,DOWNMAN SHELL,3901 DOWNMAN RD,,70126,504-982-6291
POINT (-90.075060074694 30.020829777674),76,SABA FOOD MART 3 LLC,1600 ALLEN TOUSSAINT BLVD,,70122,718-238-0513
POINT (-90.105547634135 30.019210945965),50,GAUCHET'S,722 ALLEN TOUSSAINT BLVD,,70124,504-288-8217
POINT (-89.962680928411 30.047636199041),16,BULLARD CHEVRON,7020 BULLARD AVE,,70128,504-616-3717
POINT (-90.072566331904 29.99001377818),52,GENTILLY SHELL,2035 GENTILLY BLVD,,70119,
POINT (-90.109879245303 29.96659747972),26,COSTCO GASOLINE #1147,3800 S CARROLLTON AVE,,70118,504-483-9001
POINT (-89.959536188257 30.02103640939),19,CHEF DISCOUNT,10833 CHEF MENTEUR HWY,,70127,
POINT (-90.12124494875 29.972162495142),4,A AND J FOOD MART,9201 AIRLINE HWY,1ST FLR,70118,
POINT (-90.109986602005 29.965227078608),23,CIRCLE K #2707673,3725 S CARROLLTON AVE,,70118,504-486-8377
POINT (-90.037161039214 29.94512400381),10,BROTHERS,1926 NEWTON ST,,70114,504-606-3076
POINT (-89.980283519434 30.042458433242),74,READ DISCOUNT,7358 READ BLVD,,70127,
POINT (-89.932397943694 30.028566069052),33,DISCOUNT ZONE,12930 CHEF MENTEUR HWY,,70129,504-780-8300
POINT (-90.114455450945 29.961204734603),17,CARROLLTON SHELL,3101 S CARROLLTON AVE,,70118,
POINT (-90.068123343535 29.969331868637),35,DISCOUNT ZONE,1533 ESPLANADE AVE,,70116,
POINT (-90.12824584753 29.949012760981),34,DISCOUNT ZONE,1400 S CARROLLTON AVE,,70118,504-480-8300
POINT (-90.103081578882 30.004013750499),57,LAKEVIEW DISCOUNT,932 HARRISON AVE,,70124,504-895-2001
POINT (-89.991699695334 30.02762875068),12,BROTHERS,5701 CROWDER BLVD,,70127,
POINT (-89.963340880637 30.019316778143),28,DAY & NIGHT DISCOUNT #2,10422 CHEF MENTEUR HWY,B,70127,504-248-7340
POINT (-90.082387696022 29.96270513383),55,JNY FOOD & GAS,2201 CANAL ST,,70119,
POINT (-90.024523587109 29.926890924683),63,MAGNOLIA DISCOUNT,3054 GENERAL DE GAULLE DR,,70114,504-453-0466
POINT (-90.069067961704 29.96942363565),25,CLAIBORNE EXPRESS,1249 N CLAIBORNE AVE,,70116,504-220-0005
POINT (-89.954858808666 30.039402348485),15,BULLARD CHEVRON,5701 BULLARD AVE,,70128,504-279-6013
