Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Andover,158,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BAILEY RD,CONNECTICUT STATE OF,40,29/1,"$39,200",$0,"$39,200","$39,200",POINT (-72.406948925 41.761425435)
Andover,23,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 JUROVATY RD,CONNECTICUT STATE OF,33.49,33/511,"$32,830",$0,"$32,830","$32,830",POINT (-72.390740944 41.716970224)
Andover,1221,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SKINNER HILL RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,2.01,22/439,"$46,480",$0,"$46,480","$46,480",POINT (-72.360283469 41.764594007)
Andover,1015,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 MERRITT VALLEY RD,CONNECTICUT STATE OF,0.35,71/253,"$5,250",$0,"$5,250","$5,250",POINT (-72.358984153 41.731342483)
Andover,966,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00414 ROUTE 6,CONNECTICUT STATE OF-DOT,0.88,75/1073,"$40,040",$0,"$40,040","$40,040",POINT (-72.365789548 41.73813769)
Andover,1122,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BEAR SWAMP RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,41.6,21/161,"$85,330",$0,"$85,330","$85,330",POINT (-72.355239428 41.747170828)
Andover,239,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 JUROVATY RD,CONNECTICUT STATE OF,377.24,30/484,"$414,190",$0,"$414,190","$414,190",POINT (-72.390740944 41.716970224)
Andover,1181,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SKINNER HILL RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,3.74,0/0,"$48,230",$0,"$48,230","$48,230",POINT (-72.360283469 41.764594007)
Andover,181,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 GILEAD RD,CONNECTICUT STATE OF,37.4,41/692,"$81,130",$0,"$81,130","$81,130",POINT (-72.383477569 41.711097895)
Andover,1272,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BEAR SWAMP RD,CONNECTICUT STATE OF,2,23/24,"$1,960",$0,"$1,960","$1,960",POINT (-72.355239428 41.747170828)
Andover,343,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00310 ROUTE 6,CONNECTICUT STATE OF-DOT,2.27,67/1103,"$65,870",$0,"$65,870","$65,870",POINT (-72.380396517 41.741484297)
Andover,1121,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WHEELING RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,191,21/161,"$231,700",$0,"$231,700","$231,700",POINT (-72.36389416 41.755674747)
Andover,253,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 JUROVATY RD,CONNECTICUT STATE OF,120.08,30/484,"$162,190",$0,"$162,190","$162,190",POINT (-72.390740944 41.716970224)
Andover,1273,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BUNKER HILL RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,0.5,23/24,$490,$0,$490,$490,POINT (-72.347366405 41.740136326)
Andover,942,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00372 ROUTE 6,CONNECTICUT STATE OF,0.62,78/70,"$54,600",$0,"$54,600","$54,600",POINT (-72.371920986 41.73845498)
Andover,342,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 ROUTE 6,CONNECTICUT STATE OF-DOT,0.84,59/513,"$37,450",$0,"$37,450","$37,450",POINT (-72.372212933 41.738748687)
Andover,1222,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SKINNER HILL RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,266.8,0/0,"$305,970",$0,"$305,970","$305,970",POINT (-72.360283469 41.764594007)
Andover,744,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ROUTE 6,CONNECTICUT STATE OF,0.04,0/0,$70,$0,$70,$70,POINT (-72.372212933 41.738748687)
