Level,Date,State FIPS,State Postal Code,County FIPS,Extra_Column_1,Extra_Column_1,Extra_Column_2,Extra_Column_3,Extra_Column_4,Extra_Column_5,Extra_Column_6,Extra_Column_7,Extra_Column_8
National,2019/01/01,,,,,,,,,,,,
National,2019/01/02,,,,,,,,,,,,
National,2019/01/03,,,,,,,,,,,,
National,2019/01/04,,,,,,,,,,,,
National,2019/01/05,,,,,,,,,,,,
National,2019/01/06,,,,,,,,,,,,
National,2019/01/07,,,,,,,,,,,,
National,2019/01/08,,,,,,,,,,,,
National,2019/01/09,,,,,,,,,,,,
National,2019/01/10,,,,,,,,,,,,
National,2019/01/11,,,,,,,,,,,,
National,2019/01/12,,,,,,,,,,,,
National,2019/01/13,,,,,,,,,,,,
National,2019/01/14,,,,,,,,,,,,
National,2019/01/15,,,,,,,,,,,,
National,2019/01/16,,,,,,,,,,,,
National,2019/01/17,,,,,,,,,,,,
National,2019/01/18,,,,,,,,,,,,
National,2019/01/19,,,,,,,,,,,,
National,2019/01/20,,,,,,,,,,,,
National,2019/01/21,,,,,,,,,,,,
National,2019/01/22,,,,,,,,,,,,
National,2019/01/23,,,,,,,,,,,,
National,2019/01/24,,,,,,,,,,,,
National,2019/02/20,,,,,"62,190,998","263,976,422","1,153,739,503","292,302,291","287,386,647","140,223,962","175,081,873","171,012,842"
National,2019/02/21,,,,,"61,675,903","264,491,517","1,171,987,605","293,190,287","290,621,129","142,817,269","179,228,607","175,356,229"
National,2019/02/22,,,,,"59,452,280","266,715,140","1,178,438,544","287,995,016","291,954,341","144,936,168","182,382,666","177,967,059"
National,2019/02/23,,,,,"63,037,912","263,129,508","1,177,361,536","292,348,490","300,106,987","148,074,422","181,642,088","166,680,895"
National,2019/02/24,,,,,"65,380,013","260,787,407","1,063,640,213","263,792,806","280,616,865","134,959,320","162,550,666","144,480,067"
National,2019/02/25,,,,,"61,297,147","264,870,273","1,132,685,439","285,438,610","279,668,228","136,559,559","171,593,543","170,171,621"
National,2019/02/26,,,,,"60,950,030","265,217,390","1,133,134,548","286,780,452","281,356,022","136,172,176","171,290,890","170,198,454"
National,2019/02/27,,,,,"60,845,387","265,322,033","1,183,114,528","295,277,251","299,074,078","143,975,467","180,289,995","178,386,030"
National,2019/02/28,,,,,"60,665,802","265,501,618","1,188,670,815","291,290,299","299,758,243","145,306,086","182,806,928","181,273,746"
National,2019/03/01,,,,,"59,783,948","266,383,472","1,176,494,148","286,689,722","290,817,743","144,724,601","182,401,446","178,095,455"
National,2019/03/02,,,,,"63,493,215","262,674,205","1,175,970,798","291,674,359","298,884,878","147,875,004","181,662,061","166,864,927"
National,2019/03/03,,,,,"66,580,268","259,587,152","1,060,796,560","262,559,717","279,002,562","134,655,147","162,360,000","144,445,899"
National,2019/03/04,,,,,"63,904,519","262,262,901","1,131,539,103","286,748,060","279,156,156","136,852,742","171,216,827","168,699,423"
National,2019/03/05,,,,,"62,404,653","263,762,767","1,138,823,023","291,087,298","283,849,564","137,634,518","171,614,197","168,269,248"
National,2019/03/06,,,,,"61,656,126","264,511,294","1,166,068,569","292,945,242","291,555,842","142,153,275","177,640,644","174,069,842"
National,2019/03/07,,,,,"58,709,632","267,457,788","1,179,407,287","290,821,453","293,918,934","144,308,396","181,530,974","178,241,482"
