credentialid,name,type,fullcredentialcode,PlaceID,PlaceName
"504,522",WALGREENS ,CORPORATION,PCY.0000956,79,Barkhamsted
"38,671",CVS PHARMACY ,CORPORATION,PCY.0001370,36,Madison
"387,327",WALGREENS ,CORPORATION,PCY.0001922,64,Clinton
"37,548",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0000703,9,Bristol
"242,630",CVS/PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0001755,19,Burlington
"247,605",WALGREENS ,CORPORATION,PCY.0001437,7,Darien
"304,168",WAL-MART PHARMACY ,BUSINESS,PCY.0001802,3,East Windsor
"38,217",RITE AID ,CORPORATION,PCY.0001179,22,Eastford
"149,954",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0001683,6,Bloomfield
"431,881",BIG Y PHARMACY ,CORPORATION,PCY.0002041,5,Manchester
"241,512",WALGREENS ,CORPORATION,PCY.0001395,82,New London
"894,719",WALGREENS ,CORPORATION,PCY.0002148,50,Easton
"38,006",WALGREENS ,CORPORATION,PCY.0001107,16,Hartford
"38,024",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0001143,38,Bethany
"37,794",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0000989,61,Plainfield
"38,904",WAL-MART PHARMACY ,CORPORATION,PCY.0001455,68,Ledyard
"37,125",WALGREENS ,CORPORATION,PCY.0000342,15,Cheshire
"289,298",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0001792,75,Morris
"38,223",WALGREENS ,BUSINESS,PCY.0001201,73,Stamford
"911,596",BIG Y PHARMACY ,CORPORATION,PCY.0002160,8,East Lyme
"445,206",CVS/PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0002070,12,Bethlehem
"318,435",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0001128,33,Killingworth
"513,947",CVS/PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0000982,17,East Haven
"244,351",WAL-MART PHARMACY ,BUSINESS,PCY.0001765,25,Beacon Falls
"1,613,433",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0002383,77,Bolton
"924,322",WALGREENS ,CORPORATION,PCY.0002173,10,Kent
"1,056,533",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0002236,67,Monroe
"359,708",WALGREENS ,CORPORATION,PCY.0000958,29,Canton
"286,709",CVS/PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0001795,30,East Hartford
"225,616",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0001736,37,Colchester
"1,030,220",CVS PHARMACY ,LIMITED LIABILITY COMPANY,PCY.0002221,51,Bridgewater
"284,623",WAL-MART PHARMACY ,CORPORATION,PCY.0001786,76,Colebrook
