CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,Unnamed_Column_10
,,,4407819,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4457159,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
,,,4513489,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4456903,Sedan,,,,,
,,,4407279,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4456594,Sedan,,,,,
,,,4408579,Sedan,Sedan,,,,
,,,4455904,Sedan,Tow Truck / Wrecker,,,,
,,,4395664,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408293,Station Wagon/Sport Utility Vehicle,PK,,,,
,,,4408177,Sedan,Sedan,,,,
,,,4408671,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408301,Station Wagon/Sport Utility Vehicle,,,,,
,,,4514168,Taxi,Flat Bed,,,,
,,,4455944,Sedan,Sedan,,,,
,,,4408685,Sedan,Sedan,,,,
Unspecified,,,4456844,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
,,,4407745,Bus,Sedan,,,,
,,,4513751,Sedan,,,,,
,,,4408524,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4485586,Sedan,,,,,
,,,4456549,Station Wagon/Sport Utility Vehicle,,,,,
,,,4513741,Sedan,Sedan,,,,
,,,4408622,Sedan,Sedan,,,,
,,,4408863,Sedan,,,,,
Unspecified,,,4513840,Sedan,Sedan,Sedan,,,
,,,4408547,Sedan,,,,,
,,,4456658,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4513874,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,
,,,4456472,Station Wagon/Sport Utility Vehicle,Ambulance,,,,
Unspecified,,,4408893,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
,,,4514084,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4456299,Sedan,Sedan,,,,
,,,4456802,Station Wagon/Sport Utility Vehicle,,,,,
,,,4513478,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4408980,Sedan,,,,,
,,,4514133,MOPED,,,,,
Unspecified,Unspecified,Unspecified,4456368,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Pick-up Truck,
,,,4456080,,,,,,
,,,4407331,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4513535,Sedan,Sedan,,,,
,,,4514121,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408084,Sedan,Bike,,,,
,,,4456915,Box Truck,Moped,,,,
,,,4408035,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4456817,Sedan,Sedan,,,,
,,,4456401,Station Wagon/Sport Utility Vehicle,Bike,,,,
,,,4407808,Sedan,Sedan,,,,
,,,4456996,Sedan,Station Wagon/Sport Utility Vehicle,,,,
Other Vehicular,,,4408888,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
,,,4408196,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
Unspecified,Unspecified,,4407346,SCHOOL BUS,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
,,,4407704,Sedan,Taxi,,,,
,,,4408305,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408243,Sedan,Motorcycle,,,,
,,,4408819,Box Truck,Station Wagon/Sport Utility Vehicle,,,,
,,,4456420,Sedan,Sedan,,,,
Unspecified,,,4408169,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,,
,,,4455956,Sedan,Sedan,,,,
12/14/2021,14:30,,,40.783268,-73.82485,"(40.783268°, -73.82485°)",WHITESTONE EXPRESSWAY,,
,,,4407542,Sedan,,,,,
,,,4408056,Sedan,,,,,
,,,4408278,Sedan,,,,,
,,,4456094,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4456693,E-Scooter,Sedan,,,,
,,,4407956,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4409002,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408873,Sedan,Sedan,,,,
,,,4456339,Station Wagon/Sport Utility Vehicle,E-Bike,,,,
,,,4408297,Station Wagon/Sport Utility Vehicle,,,,,
06/29/2022,6:55,,,,,,THROGS NECK BRIDGE,,
,,,4407452,Sedan,Sedan,,,,
Unspecified,,,4407652,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
,,,4456610,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4513704,Sedan,Bike,,,,
,,,4513862,Van,Sedan,,,,
,,,4513601,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4408349,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407741,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4407891,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408633,Tractor Truck Diesel,Tractor Truck Diesel,,,,
,,,4408354,Box Truck,Station Wagon/Sport Utility Vehicle,,,,
,,,4456531,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407839,Pick-up Truck,Sedan,,,,
,,,4484892,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4455993,Ambulance,Bike,,,,
Unspecified,,,4407614,Box Truck,Sedan,Station Wagon/Sport Utility Vehicle,,,
Unspecified,,,4408802,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,,
,,,4408113,Station Wagon/Sport Utility Vehicle,Sedan,,,,
Unspecified,Unspecified,,4407349,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,,
,,,4456519,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408367,Sedan,Sedan,,,,
,,,4408198,Sedan,Sedan,,,,
,,,4408422,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408195,Pick-up Truck,Sedan,,,,
,,,4407482,Sedan,,,,,
,,,4504486,Station Wagon/Sport Utility Vehicle,,,,,
,,,4455985,Sedan,,,,,
,,,4407944,Sedan,Sedan,,,,
,,,4407523,Sedan,,,,,
,,,4408065,Sedan,Sedan,,,,
Unspecified,Unspecified,Unspecified,4456365,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
,,,4513711,Sedan,,,,,
,,,4407609,Sedan,,,,,
,,,4503983,Sedan,Sedan,,,,
,,,4457007,Sedan,Sedan,,,,
,,,4513708,Sedan,Taxi,,,,
12/14/2021,21:10,BROOKLYN,11207,40.67172,-73.8971,"(40.67172°, -73.8971°)",,,2047 PITKIN AVENUE
Unspecified,,,4408003,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,,
,,,4407731,Sedan,Sedan,,,,
,,,4407963,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4513734,Sedan,Pick-up Truck,,,,
,,,4408275,Taxi,Station Wagon/Sport Utility Vehicle,,,,
,,,4456807,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4407860,Motorcycle,Station Wagon/Sport Utility Vehicle,,,,
,,,4456827,Sedan,Sedan,,,,
,,,4504204,Sedan,,,,,
Unspecified,,,4456795,Sedan,Pick-up Truck,,,,
,,,4456193,Sedan,Sedan,,,,
,,,4408599,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
06/29/2021,17:35,,,40.609535,-73.75372,"(40.609535°, -73.75372°)",BEACH CHANNEL DRIVE,,
,,,4513659,Sedan,,,,,
,,,4455883,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4456673,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407809,Tractor Truck Diesel,Sedan,,,,
,,,4407373,Sedan,Motorbike,,,,
,,,4407342,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
