ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
279939216,01/04/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,113,3,25-44,M,WHITE,1046315,187088,40.6799807384666,-73.7762339071953,POINT (-73.7762339071953 40.6799807384666)
280912665,01/22/2024,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,K,77,0,25-44,M,BLACK,1003508,185056,40.674593,-73.930572,POINT (-73.930572 40.674593)
280642109,01/17/2024,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,K,81,0,25-44,M,BLACK,1004261,188606,40.684336,-73.927847,POINT (-73.927847 40.684336)
280354149,01/11/2024,515,"CONTROLLED SUBSTANCE,SALE 3",117,DANGEROUS DRUGS,PL 2203901,F,M,6,0,25-44,M,BLACK,984568,205479,40.73066902110869,-73.9988526204318,POINT (-73.9988526204318 40.73066902110869)
280170029,01/08/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601503,F,B,44,0,<18,M,WHITE HISPANIC,1003363,238988,40.822622,-73.930942,POINT (-73.930942 40.822622)
280216986,01/09/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,M,24,1,25-44,M,BLACK,992063,228791,40.79465100965659,-73.97178272840256,POINT (-73.97178272840256 40.79465100965659)
280839174,01/20/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,67,0,25-44,M,BLACK,1002541,176048,40.649868826822726,-73.9340839457959,POINT (-73.9340839457959 40.649868826822726)
281032958,01/24/2024,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,Q,113,0,25-44,M,BLACK,1046399,187126,40.680077,-73.775929,POINT (-73.775929 40.680077)
280912628,01/22/2024,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,41,0,25-44,M,BLACK,1013096,236605,40.816057,-73.895785,POINT (-73.895785 40.816057)
280898236,01/22/2024,112,MENACING 1ST DEGREE (VICT NOT,126,MISCELLANEOUS PENAL LAW,PL 120141H,F,B,44,0,18-24,M,BLACK HISPANIC,1006537,244511,40.837774,-73.919455,POINT (-73.919455 40.837774)
282024665,02/10/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,102,0,25-44,M,WHITE HISPANIC,1024068,190835,40.690387,-73.856418,POINT (-73.856418 40.690387)
281220319,01/27/2024,441,"LARCENY,GRAND OF AUTO",110,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,88,0,25-44,M,BLACK,993199,193475,40.69771638850117,-73.96772696566879,POINT (-73.96772696566879 40.69771638850117)
279784128,01/01/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,24,0,25-44,M,BLACK,991925,228547,40.793981416649686,-73.97228140520521,POINT (-73.97228140520521 40.793981416649686)
280798154,01/19/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,K,69,0,25-44,M,BLACK,1007857,171367,40.63700791939589,-73.91494284127104,POINT (-73.91494284127104 40.63700791939589)
281029898,01/24/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 160102A,F,M,32,0,25-44,M,BLACK,999439,236537,40.815904,-73.945123,POINT (-73.945123 40.815904)
281559843,02/02/2024,507,"CONTROLLED SUBSTANCE, POSSESSI",117,DANGEROUS DRUGS,PL 2200603,F,K,70,0,45-64,M,BLACK,995876,174823,40.64651772543904,-73.95810499625229,POINT (-73.95810499625229 40.64651772543904)
281306844,01/29/2024,724,"FORGERY-ILLEGAL POSSESSION,VEH",126,MISCELLANEOUS PENAL LAW,PL 1707003,F,K,94,0,25-44,M,BLACK,1001485,201653,40.72015079741541,-73.93782400115914,POINT (-73.93782400115914 40.72015079741541)
280450173,01/13/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,M,25,0,45-64,M,WHITE HISPANIC,1000929,232225,40.804066,-73.939753,POINT (-73.939753 40.804066)
280545858,01/15/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,B,45,0,45-64,F,WHITE HISPANIC,1032973,255964,40.869104,-73.823835,POINT (-73.823835 40.869104)
280727349,01/18/2024,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,M,28,0,25-44,F,WHITE,997439,233857,40.80855,-73.952355,POINT (-73.952355 40.80855)
281235653,01/28/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,62,0,25-44,M,WHITE,984887,156579,40.596451,-73.997706,POINT (-73.997706 40.596451)
