ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,Unnamed_Column_24,Unnamed_Column_25
01/12/2012,216,111,92,57,61,102,188,338,550,443,365,356,371,399,445,556,646,631,601,453,396,318,319,284
02/08/2012,66,31,18,14,19,44,193,505,437,253,180,159,144,168,212,267,246,268,254,206,168,136,116,104
01/19/2012,174,90,72,37,63,115,308,736,841,745,698,732,770,840,996,"1,197","1,247","1,228","1,038",835,587,489,411,236
01/21/2012,69,33,30,35,41,38,46,109,162,193,160,148,188,185,180,208,192,135,146,140,100,103,87,76
02/15/2012,28,20,17,10,17,21,54,164,220,142,141,161,184,182,183,247,221,205,183,134,91,87,64,61
01/19/2012,102,66,29,16,26,38,127,249,321,295,239,211,261,227,262,320,342,266,308,259,269,226,269,176
02/02/2012,76,54,30,34,60,115,452,967,570,364,326,332,305,337,396,398,381,501,393,284,208,199,150,110
02/07/2012,95,61,49,47,76,165,405,984,"1,006",683,501,499,469,536,506,540,581,637,603,495,347,237,216,153
02/17/2012,46,20,24,15,19,30,68,194,251,129,51,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2012,42,22,21,8,22,70,114,307,311,174,126,174,187,209,272,301,255,278,235,209,215,150,118,60
02/16/2012,22,6,4,3,9,22,34,80,117,95,78,107,110,109,115,135,130,176,128,98,79,66,40,42
01/26/2012,604,446,293,217,210,220,284,467,573,524,659,719,796,859,887,"1,157","1,282","1,358","1,102",856,774,727,694,594
01/25/2012,303,175,165,149,252,651,"1,189","1,345","1,258","1,159",892,788,726,790,762,816,851,759,614,485,402,353,402,336
01/10/2012,133,89,53,40,55,103,187,527,552,466,371,348,340,375,449,539,493,529,469,433,331,318,237,182
01/19/2012,87,61,32,34,38,62,142,313,378,306,234,260,264,260,260,337,324,318,262,196,213,149,117,142
02/17/2012,229,156,106,61,76,157,538,906,937,729,101,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2012,583,493,366,279,292,291,445,895,"1,257","1,110",971,"1,001","1,031","1,058","1,136","1,119","1,054","1,159","1,166","1,299","1,242","1,237","1,112","1,022"
01/23/2012,286,179,164,151,253,623,"1,190","1,240","1,148","1,128",841,773,723,808,702,760,794,761,637,473,446,352,399,340
01/09/2012,19,9,6,10,14,46,73,184,155,73,91,111,91,118,132,161,131,164,130,141,77,55,49,27
02/14/2012,76,45,34,35,40,58,133,278,378,260,235,283,279,283,301,347,367,379,362,298,265,199,130,113
01/10/2012,83,33,18,29,34,78,157,266,406,198,205,271,309,339,352,456,397,462,398,354,269,205,128,79
01/23/2012,143,97,65,63,128,206,428,504,530,523,434,409,425,423,478,433,491,457,360,255,253,226,190,194
02/16/2012,78,58,40,29,37,55,118,267,440,304,292,298,330,291,376,375,411,407,422,333,322,172,180,163
02/07/2012,105,56,46,24,20,42,173,458,619,422,310,348,309,321,414,441,516,527,503,383,286,226,209,126
02/15/2012,11,4,5,4,7,24,84,67,72,58,64,64,76,73,85,63,87,76,68,28,20,15,20,5
02/14/2012,16,10,5,2,6,18,42,85,102,87,90,98,97,111,108,123,138,181,135,82,91,61,50,32
02/15/2012,124,70,35,34,45,89,222,473,538,443,393,416,433,424,453,466,448,537,440,430,338,322,290,182
10,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/12/2012,24,12,7,18,11,23,61,146,177,128,117,111,134,134,171,184,157,167
02/02/2012,96,67,43,42,59,147,445,815,725,481,433,395,359,395,489,497,551,570,465,403,334,302,278,180
01/12/2012,70,39,30,22,45,115,260,527,677,452,437,403,418,467,502,708,598,561,465,424,338,313,184,136
02/17/2012,112,70,57,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2012,179,115,74,69,98,129,220,467,635,507,423,483,547,565,550,710,707,606,464,408,319,280,213,145
01/13/2012,95,68,50,32,39,54,152,354,401,269,272,307,353,419,493,524,475,515,462,404,286,301,231,222
02/18/2012,189,123,90,80,64,59,86,95,174,231,269,298,367,372,407,421,385,386,400,408,379,347,317,254
02/09/2012,52,24,14,10,11,26,63,272,574,403,274,280,368,330,450,779,"1,000","1,011",733,490,306,211,170,104
02/17/2012,24,17,12,8,15,34,99,192,187,165,155,159,179,174,232,221,195,253,184,160,131,46,0,0
01/25/2012,97,62,42,47,63,73,98,242,330,229,243,280,295,346,407,436,542,566,520,392,349,284,184,158
02/16/2012,19,18,13,15,13,33,51,114,166,107,121,115,167,168,150,209,255,343,285,190,188,131,83,53
02/02/2012,79,74,64,57,108,207,342,470,419,339,310,356,361,385,434,435,372,409,395,355,287,229,195,154
02/14/2012,448,305,212,170,233,452,757,"1,145","1,150","1,047","1,073",992,919,885,"1,009","1,165","1,115","1,218","1,150","1,073","1,177","1,120",760,619
01/24/2012,243,192,163,137,226,642,"1,184","1,441","1,440","1,112",842,866,845,782,754,827,896,750,526,498,362,366,442,354
01/11/2012,111,87,92,55,54,77,214,339,209,256,286,250,243,226,208,251,203,202,233,204,189,178,152,109
01/12/2012,82,60,36,41,38,36,202,140,217,219,210,293,243,233,203,267,262,256,218,168,106,103,123,102
01/31/2012,125,94,61,43,60,106,225,417,533,455,391,368,386,407,447,598,605,627,478,417,362,320,214,163
02/14/2012,54,42,25,15,19,40,54,151,250,236,164,188,222,221,246,293,288,277,240,203,179,157,161,116
01/09/2012,24,33,31,24,47,159,288,330,375,297,205,269,209,251,250,258,292,289,207,128,138,112,96,52
02/14/2012,72,38,31,19,49,76,204,435,436,270,261,322,330,570,995,893,703,583,474,391,335,267,170,138
02/08/2012,42,24,14,13,11,61,146,241,263,219,232,209,266,220,229,233,245,230,211,217,196,165,89,70
02/22/2012,217,129,83,75,127,283,548,826,748,723,706,737,772,842,857,908,"1,007","1,047",932,825,607,520,389,309
