Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Unnamed_Column_11
386,Ozone (O3),Mean,ppb,UHF42,102,Northeast Bronx,Summer 2021,06/01/2021,30.4,
386,Ozone (O3),Mean,ppb,UHF34,503504,Southern SI,Summer 2020,06/01/2020,28.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,404,Elmhurst and Corona (CD4),Annual Average 2021,01/01/2021,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),Winter 2020-21,12/01/2020,19.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Summer 2022,06/01/2022,9.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,503504,Southern SI,Summer 2020,06/01/2020,7.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,503,Willowbrook,Winter 2021-22,12/01/2021,6.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Summer 2020,06/01/2020,7.1,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,19,
386,Ozone (O3),Mean,ppb,UHF42,105,Crotona -Tremont,Summer 2021,06/01/2021,29,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403,Flushing - Clearview,Annual Average 2021,01/01/2021,15.7,
386,Ozone (O3),Mean,ppb,UHF34,410,Rockaways,Summer 2021,06/01/2021,34.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Annual Average 2021,01/01/2021,6.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,403,Jackson Heights (CD3),Annual Average 2021,01/01/2021,6.6,
386,Ozone (O3),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2021,06/01/2021,28,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101,Kingsbridge - Riverdale,Winter 2020-21,12/01/2020,6.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Annual Average 2022,01/01/2022,6,
386,Ozone (O3),Mean,ppb,UHF42,205,Sunset Park,Summer 2020,06/01/2020,28.9,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2020,01/01/2020,13.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Annual Average 2022,01/01/2022,15,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Annual Average 2021,01/01/2021,7.6,
823394,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402,West Queens,Summer 2022,06/01/2022,6.9
375,Nitrogen dioxide (NO2),Mean,ppb,CD,110,Central Harlem (CD10),Annual Average 2021,01/01/2021,18.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,402,West Queens,Summer 2020,06/01/2020,7.4,
386,Ozone (O3),Mean,ppb,UHF42,205,Sunset Park,Summer 2021,06/01/2021,29,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Summer 2022,06/01/2022,16.9,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,305,Upper East Side,Winter 2020-21,12/01/2020,24,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304,Upper West Side,Summer 2021,06/01/2021,15.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Winter 2021-22,12/01/2021,21.3,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2020,06/01/2020,14.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,1,Bronx,Summer 2020,06/01/2020,7.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502,South Beach and Willowbrook (CD2),Summer 2021,06/01/2021,7.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,102,Northeast Bronx,Annual Average 2021,01/01/2021,6.5,
375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,Staten Island,Summer 2021,06/01/2021,7.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,318,Flatlands and Canarsie (CD18),Summer 2021,06/01/2021,8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Annual Average 2022,01/01/2022,21.4,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Annual Average 2020,01/01/2020,14.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Winter 2021-22,12/01/2021,6.6,
386,Ozone (O3),Mean,ppb,CD,413,Queens Village (CD13),Summer 2021,06/01/2021,31.3,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,201,Mott Haven and Melrose (CD1),Summer 2021,06/01/2021,15.3,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2021,06/01/2021,8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Annual Average 2021,01/01/2021,6.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Winter 2020-21,12/01/2020,21.5,
386,Ozone (O3),Mean,ppb,UHF42,409,Southeast Queens,Summer 2022,06/01/2022,34.7,
