Race/ethnicity,Age group,Vaccination status,Count,Population,Percent population,Date updated
NH Asian or Pacific Islander,Unknown,Initiated,54,,,12/28/2022
NH Black,75+,Fully,"12,391","17,973",68.94,01/12/2023
White,25-34,Initiated,"213,093","255,549",83.39,01/18/2023
Multiple Races,25-34,Additional 1,"4,312","13,544",31.84,01/04/2023
NH Asian or Pacific Islander,5-9,Additional 1,"1,201","10,688",11.24,01/12/2023
NH Other Race,0-4,Additional 1,5,,,01/12/2023
NH American Indian or Alaska Native,0-4,Additional 1,0,308,0,02/01/2023
Hispanic,25-34,Additional 1,"24,604","96,563",25.48,01/18/2023
Multiple Races,All Ages,Additional 1,"48,575","94,575",51.36,02/01/2023
NH Asian or Pacific Islander,65-74,Additional 1,"6,359","10,300",61.74,01/04/2023
Unknown,Unknown,Fully,31,,,01/25/2023
NH Other Race,All Ages,Additional 1,"27,476",,,12/21/2022
NH American Indian or Alaska Native,45-54,Additional 1,293,816,35.91,12/14/2022
Hispanic,10-14,Fully,"33,223","55,874",59.46,01/18/2023
White,Unknown,Fully,368,,,02/01/2023
NH Other Race,65-74,Initiated,"8,776",,,01/18/2023
Multiple Races,35-44,Fully,"6,849","8,974",76.32,12/28/2022
NH Asian or Pacific Islander,0-4,Fully,906,"10,492",8.64,12/28/2022
Unknown,10-14,Additional 1,334,,,01/12/2023
Unknown,45-54,Fully,"9,787",,,01/04/2023
White,15-24,Additional 1,"105,912","277,567",38.16,01/18/2023
NH American Indian or Alaska Native,15-24,Fully,430,894,48.1,01/04/2023
Multiple Races,35-44,Fully,"6,920","8,974",77.11,01/18/2023
Multiple Races,35-44,Additional 1,"5,035","8,974",56.11,12/28/2022
NH American Indian or Alaska Native,55-64,Additional 1,306,988,30.97,12/28/2022
Hispanic,All Ages,Initiated,"482,566","623,293",77.42,12/14/2022
NH Asian or Pacific Islander,35-44,Fully,"23,940","29,921",80.01,01/18/2023
NH American Indian or Alaska Native,25-34,Additional 1,163,954,17.09,12/14/2022
NH American Indian or Alaska Native,25-34,Additional 1,161,954,16.88,01/12/2023
NH Black,55-64,Additional 1,"25,021","46,150",54.22,02/08/2023
White,All Ages,Initiated,"1,901,479","2,333,361",81.49,02/01/2023
Unknown,45-54,Initiated,"12,625",,,01/25/2023
NH American Indian or Alaska Native,55-64,Fully,595,988,60.22,01/04/2023
NH Other Race,75+,Initiated,"13,913",,,01/18/2023
Unknown,65-74,Additional 1,"1,849",,,01/04/2023
Hispanic,35-44,Additional 1,"31,674","92,979",34.07,01/18/2023
NH Asian or Pacific Islander,0-4,Initiated,"1,739","10,492",16.57,01/18/2023
Multiple Races,65-74,Additional 1,"7,444","3,321",100,12/21/2022
White,25-34,Fully,"192,352","255,549",75.27,12/21/2022
NH American Indian or Alaska Native,35-44,Fully,538,854,63,12/14/2022
