Date,Positive COVID-19 tests - daily,Deaths - daily,Tests - daily,Positive COVID-19 tests - cumulative,Deaths - cumulative,Tests - cumulative
08/27/2020,132,0,"19,331","52,504","4,494","1,241,423"
06/03/2020,201,16,"7,615","43,878","4,152","301,336"
04/24/2022,682,5,"5,714","759,532","10,874","15,947,782"
07/09/2020,102,5,"12,724","47,824","4,422","620,292"
02/20/2022,294,13,"7,601","728,132","10,716","15,174,543"
03/22/2021,"1,535",13,"47,447","302,151","7,975","7,581,745"
09/24/2021,525,9,"26,525","390,774","8,646","11,267,517"
10/30/2020,924,5,"26,626","74,987","4,680","2,650,394"
06/18/2021,54,2,"11,060","349,446","8,353","9,665,387"
05/13/2021,274,2,"21,698","345,767","8,281","9,178,048"
04/11/2020,628,89,"1,808","16,484",794,"51,476"
07/10/2020,85,2,"12,309","47,909","4,424","632,601"
06/02/2022,750,1,"10,845","811,190","11,000","16,447,992"
08/15/2021,401,0,"9,730","365,184","8,422","10,380,999"
04/25/2022,"1,327",3,"17,299","760,859","10,877","15,965,081"
09/29/2021,441,5,"28,791","392,885","8,672","11,381,249"
05/05/2021,396,4,"29,777","343,401","8,245","9,003,047"
06/27/2021,30,0,"5,391","349,822","8,358","9,752,050"
03/24/2021,"1,503",5,"44,640","305,066","7,985","7,678,484"
08/18/2021,722,4,"22,677","367,403","8,435","10,450,528"
02/02/2021,"1,330",28,"38,902","257,999","7,378","6,001,564"
01/18/2022,"5,202",35,"39,080","681,312","10,005","14,513,238"
12/02/2020,"3,092",34,"44,646","134,803","5,258","3,812,728"
11/29/2021,"2,306",5,"41,546","429,804","8,979","12,770,110"
06/22/2022,134,0,"2,190","822,336","11,034","16,603,751"
01/17/2021,"1,252",27,"21,171","233,454","6,893","5,397,835"
03/11/2021,"1,033",9,"35,988","290,798","7,889","7,248,523"
11/25/2021,344,6,"6,538","424,437","8,954","12,676,550"
08/21/2021,458,2,"10,268","369,300","8,444","10,502,742"
11/24/2021,"1,223",7,"27,414","424,093","8,948","12,670,012"
10/20/2020,680,2,"39,050","66,868","4,609","2,350,640"
04/08/2020,"1,139",78,"3,012","13,806",548,"44,288"
10/28/2020,"1,060",7,"39,370","73,083","4,665","2,589,923"
05/31/2020,85,20,"2,492","43,087","4,102","277,906"
01/29/2021,"1,361",28,"34,406","254,368","7,277","5,905,933"
05/13/2020,717,53,"7,658","37,575","3,436","172,672"
05/17/2020,152,50,"2,692","38,911","3,638","194,420"
10/10/2021,272,7,"10,305","397,769","8,731","11,640,090"
05/27/2020,424,29,"8,594","42,396","3,996","255,860"
12/11/2020,"2,345",35,"36,793","155,506","5,548","4,134,592"
03/26/2020,658,5,"2,266","3,565",40,"16,636"
06/24/2021,43,0,"12,321","349,703","8,355","9,730,223"
03/09/2022,303,2,"13,649","733,534","10,788","15,408,877"
04/10/2020,"1,077",65,"2,803","15,856",705,"49,668"
08/20/2021,700,3,"20,643","368,842","8,442","10,492,474"
01/19/2021,"2,211",49,"53,731","237,649","6,988","5,498,301"
04/07/2020,"1,124",85,"2,877","12,667",470,"41,276"
12/15/2020,"2,528",36,"45,872","163,561","5,692","4,266,259"
06/23/2021,53,1,"12,934","349,660","8,355","9,717,902"
06/10/2022,655,2,"9,332","816,002","11,016","16,514,054"
10/08/2021,457,9,"25,473","397,162","8,718","11,616,087"
10/11/2021,523,4,"25,998","398,292","8,735","11,666,088"
03/16/2021,"1,128",9,"44,217","295,374","7,931","7,392,563"
06/06/2022,758,3,"11,253","813,400","11,008","16,474,439"
10/15/2020,527,8,"27,953","64,135","4,586","2,227,095"
06/01/2022,888,4,"10,468","810,440","10,999","16,437,147"
12/16/2020,"2,138",30,"41,518","165,699","5,722","4,307,777"
04/26/2022,"1,222",4,"15,022","762,081","10,881","15,980,103"
01/22/2022,"2,088",42,"15,268","695,372","10,171","14,621,967"
03/06/2022,165,1,"6,030","732,558","10,782","15,360,510"
01/20/2022,"3,715",42,"29,091","689,844","10,094","14,579,025"
04/13/2022,972,2,"13,223","750,326","10,852","15,827,170"
07/13/2020,110,4,"14,466","48,105","4,439","656,491"
06/20/2021,38,1,"5,300","349,519","8,354","9,676,960"
11/22/2021,"1,218",12,"36,183","421,701","8,932","12,608,810"
07/03/2020,55,4,"5,842","47,302","4,403","556,098"
07/07/2021,105,2,"11,267","350,476","8,364","9,847,042"
12/04/2020,"2,569",30,"33,953","140,153","5,320","3,888,011"
01/27/2021,"1,696",24,"45,508","251,391","7,227","5,828,792"
07/12/2020,36,5,"4,273","47,995","4,435","642,025"
10/10/2020,217,3,"10,467","61,978","4,566","2,103,577"
05/08/2021,245,6,"10,209","344,295","8,262","9,060,858"
04/03/2020,829,31,"2,445","9,393",218,"32,730"
12/12/2020,"1,533",35,"19,415","157,039","5,583","4,154,007"
04/12/2020,352,86,"1,053","16,836",880,"52,529"
07/02/2021,63,1,"9,048","350,134","8,359","9,807,151"
09/05/2020,96,0,"7,039","53,701","4,505","1,382,586"
05/07/2021,336,4,"22,847","344,050","8,256","9,050,649"
05/18/2020,484,44,"6,880","39,395","3,682","201,300"
02/22/2022,557,8,"21,242","729,164","10,732","15,210,999"
07/05/2020,46,1,"4,366","47,375","4,406","562,625"
01/28/2021,"1,616",22,"42,735","253,007","7,249","5,871,527"
03/10/2022,287,4,"14,849","733,821","10,792","15,423,726"
04/30/2021,518,6,"26,089","341,421","8,214","8,879,269"
06/15/2022,724,1,"10,267","819,074","11,028","16,557,441"
10/08/2020,443,2,"29,324","61,346","4,561","2,067,749"
09/07/2020,80,1,"9,304","53,854","4,506","1,397,456"
08/28/2020,172,1,"18,169","52,676","4,495","1,259,592"
08/24/2021,913,8,"27,314","371,359","8,461","10,562,024"
07/16/2020,105,2,"13,241","48,425","4,445","700,042"
11/23/2021,"1,169",9,"33,788","422,870","8,941","12,642,598"
07/20/2020,102,2,"13,076","48,676","4,451","736,193"
05/21/2020,386,40,"7,354","40,930","3,809","222,744"
03/23/2020,427,4,"1,803","1,958",20,"10,366"
05/01/2022,875,4,"6,136","767,524","10,897","16,035,014"
04/23/2022,644,0,"6,468","758,850","10,869","15,942,068"
06/15/2021,61,0,"13,863","349,288","8,351","9,630,351"
06/03/2022,622,1,"8,279","811,812","11,001","16,456,271"
11/28/2020,"1,615",15,"18,453","124,656","5,136","3,663,988"
10/16/2021,341,6,"13,194","400,791","8,756","11,796,204"
06/05/2022,398,1,"3,140","812,642","11,005","16,463,186"
08/19/2021,739,4,"21,303","368,142","8,439","10,471,831"
10/12/2021,568,6,"31,924","398,860","8,741","11,698,012"
04/04/2020,666,54,"1,713","10,059",272,"34,443"
03/26/2021,"1,623",2,"38,231","308,142","7,995","7,759,696"
10/13/2021,581,6,"29,923","399,441","8,747","11,727,935"
01/20/2021,"2,106",39,"49,165","239,755","7,027","5,547,466"
08/30/2020,50,1,"8,411","52,812","4,498","1,276,206"
05/03/2022,"1,593",3,"16,065","770,805","10,902","16,069,377"
12/01/2020,"3,206",29,"46,183","131,711","5,224","3,768,082"
10/31/2020,584,13,"12,028","75,571","4,693","2,662,422"
12/02/2021,"2,184",7,"37,520","436,237","8,998","12,881,476"
10/19/2020,708,5,"37,773","66,188","4,607","2,311,590"
01/23/2022,"1,857",24,"17,273","697,229","10,195","14,639,240"
10/16/2020,492,8,"25,129","64,627","4,594","2,252,224"
05/17/2021,274,3,"27,089","346,533","8,302","9,239,153"
10/05/2021,507,4,"33,970","395,684","8,700","11,532,324"
01/19/2022,"4,817",47,"36,696","686,129","10,052","14,549,934"
03/07/2022,370,3,"18,003","732,928","10,785","15,378,513"
03/02/2022,319,3,"14,703","731,660","10,769","15,319,635"
01/21/2021,"2,009",29,"46,021","241,764","7,056","5,593,487"
12/20/2020,"1,115",38,"18,797","171,091","5,878","4,393,760"
08/31/2020,173,2,"20,517","52,985","4,500","1,296,723"
04/17/2022,335,4,"3,846","753,114","10,860","15,864,305"
12/09/2020,"2,429",38,"45,669","150,790","5,490","4,056,330"
12/13/2020,"1,212",37,"16,759","158,251","5,620","4,170,766"
10/23/2020,774,5,"26,450","69,081","4,629","2,442,668"
08/05/2021,630,3,"20,942","359,325","8,388","10,213,598"
08/17/2021,664,5,"23,906","366,681","8,431","10,427,851"
01/16/2021,"1,374",37,"21,474","232,202","6,866","5,376,664"
11/26/2021,"1,159",5,"20,286","425,596","8,959","12,696,836"
06/01/2020,303,20,"8,242","43,390","4,122","286,148"
06/08/2022,676,3,"10,562","814,777","11,011","16,495,345"
10/07/2021,536,4,"28,931","396,705","8,709","11,590,614"
11/14/2021,516,4,"11,389","414,331","8,887","12,398,834"
01/03/2022,"14,370",27,"59,792","581,746","9,455","14,003,493"
05/29/2020,214,29,"7,460","42,880","4,056","271,667"
10/24/2020,478,1,"11,546","69,559","4,630","2,454,214"
07/08/2021,75,0,"10,415","350,551","8,364","9,857,457"
02/26/2022,259,5,"7,621","730,422","10,751","15,262,266"
07/11/2020,50,6,"5,151","47,959","4,430","637,752"
05/26/2020,390,31,"9,016","41,972","3,967","247,266"
01/31/2021,933,22,"19,705","256,308","7,323","5,946,290"
01/13/2022,"6,606",43,"39,188","660,744","9,799","14,379,851"
11/15/2021,985,3,"32,596","415,316","8,890","12,431,430"
03/29/2020,344,15,829,"5,013",76,"21,018"
08/24/2020,183,1,"20,055","52,053","4,493","1,180,585"
09/02/2020,180,1,"20,072","53,327","4,501","1,337,349"
05/04/2021,413,6,"34,233","343,005","8,241","8,973,270"
01/17/2022,"4,100",42,"27,583","676,110","9,970","14,474,158"
05/28/2020,270,31,"8,347","42,666","4,027","264,207"
10/11/2020,172,1,"8,392","62,150","4,567","2,111,969"
01/08/2022,"5,174",39,"22,748","626,045","9,619","14,192,120"
10/15/2021,428,3,"25,208","400,450","8,750","11,783,010"
05/31/2022,"1,178",2,"13,594","809,552","10,995","16,426,679"
08/10/2021,740,1,"23,334","362,202","8,399","10,298,425"
07/05/2021,87,0,"7,767","350,297","8,361","9,823,768"
06/17/2021,56,0,"11,811","349,392","8,351","9,654,327"
01/11/2022,"7,087",29,"38,958","646,721","9,721","14,299,718"
09/30/2021,569,4,"29,315","393,454","8,676","11,410,564"
07/01/2020,147,6,"13,904","47,123","4,396","536,102"
03/12/2022,196,4,"6,594","734,290","10,801","15,443,020"
07/15/2020,107,2,"14,419","48,320","4,443","686,801"
05/15/2020,460,52,"7,593","38,557","3,539","188,007"
09/25/2021,306,4,"12,919","391,080","8,650","11,280,436"
02/08/2021,"1,365",16,"50,686","265,092","7,507","6,220,111"
03/15/2022,370,1,"15,029","735,230","10,806","15,479,779"
07/21/2020,117,1,"13,820","48,793","4,452","750,013"
06/11/2022,432,3,"5,177","816,434","11,019","16,519,231"
06/16/2021,48,0,"12,165","349,336","8,351","9,642,516"
11/19/2021,919,0,"25,086","419,172","8,912","12,544,347"
08/25/2020,168,1,"20,885","52,221","4,494","1,201,470"
02/05/2021,"1,178",21,"35,329","262,427","7,456","6,139,672"
08/08/2021,323,2,"8,365","360,628","8,395","10,250,845"
10/09/2021,335,6,"13,698","397,497","8,724","11,629,785"
03/08/2021,"1,066",9,"44,355","287,788","7,865","7,137,730"
10/03/2021,289,4,"12,127","394,574","8,693","11,464,124"
10/01/2021,507,6,"27,557","393,961","8,682","11,438,121"
06/29/2021,61,0,"12,025","349,944","8,358","9,777,346"
07/07/2020,124,3,"14,575","47,615","4,415","592,444"
06/09/2022,570,3,"9,377","815,347","11,014","16,504,722"
03/09/2021,970,7,"35,645","288,758","7,872","7,173,375"
05/12/2020,600,60,"8,203","36,858","3,383","165,014"
05/23/2020,139,31,"3,412","41,388","3,871","233,409"
07/23/2020,154,4,"15,532","49,037","4,458","779,888"
04/27/2022,"1,345",3,"14,030","763,426","10,884","15,994,133"
09/23/2021,641,7,"29,921","390,249","8,637","11,240,992"
08/16/2021,833,4,"22,946","366,017","8,426","10,403,945"
01/15/2022,"2,832",36,"16,625","669,208","9,873","14,428,873"
10/27/2020,"1,042",6,"45,900","72,023","4,658","2,550,553"
11/20/2021,704,5,"14,481","419,876","8,917","12,558,828"
11/29/2020,"1,151",30,"15,070","125,807","5,166","3,679,058"
06/18/2022,435,1,"5,095","820,612","11,033","16,580,445"
05/02/2022,"1,688",2,"18,298","769,212","10,899","16,053,312"
06/21/2021,46,0,"14,399","349,565","8,354","9,691,359"
12/05/2020,"1,478",38,"17,418","141,631","5,358","3,905,429"
03/29/2021,"1,621",8,"47,873","311,547","8,015","7,839,757"
04/29/2021,549,4,"32,086","340,903","8,208","8,853,180"
08/19/2020,146,3,"17,857","51,500","4,490","1,115,428"
12/06/2020,"1,291",28,"17,208","142,922","5,386","3,922,637"
01/09/2022,"4,436",43,"21,065","630,481","9,662","14,213,185"
03/08/2022,303,1,"16,715","733,231","10,786","15,395,228"
01/16/2022,"2,802",55,"17,702","672,010","9,928","14,446,575"
08/26/2021,765,8,"22,029","372,949","8,471","10,607,642"
04/27/2021,633,4,"39,006","339,723","8,198","8,784,604"
03/27/2021,951,6,"15,979","309,093","8,001","7,775,675"
05/10/2021,387,5,"32,088","344,863","8,271","9,100,751"
02/24/2022,429,4,"18,307","729,979","10,742","15,246,015"
09/08/2020,235,0,"27,913","54,089","4,506","1,425,369"
06/22/2021,42,0,"13,609","349,607","8,354","9,704,968"
04/05/2020,439,53,"1,156","10,498",325,"35,599"
03/30/2020,854,25,"2,138","5,867",101,"23,156"
07/02/2020,124,3,"14,154","47,247","4,399","550,256"
02/04/2021,"1,465",24,"46,794","261,249","7,435","6,104,343"
05/19/2020,630,46,"6,963","40,025","3,728","208,263"
06/14/2022,672,1,"10,983","818,350","11,027","16,547,174"
10/14/2020,505,5,"29,530","63,608","4,578","2,199,142"
05/16/2021,128,3,"7,574","346,259","8,299","9,212,064"
09/26/2021,311,7,"11,820","391,391","8,657","11,292,256"
07/06/2020,116,6,"15,244","47,491","4,412","577,869"
12/10/2020,"2,371",23,"41,469","153,161","5,513","4,097,799"
04/14/2022,930,2,"15,142","751,256","10,854","15,842,312"
07/04/2020,27,2,"2,161","47,329","4,405","558,259"
12/08/2020,"2,611",36,"44,119","148,361","5,452","4,010,661"
04/21/2022,957,2,"13,806","757,325","10,869","15,924,387"
09/27/2021,554,5,"33,937","391,945","8,662","11,326,193"
04/16/2022,660,1,"7,310","752,779","10,856","15,860,459"
04/14/2020,"1,202",96,"3,672","18,689","1,071","57,806"
08/06/2021,560,0,"17,889","359,885","8,388","10,231,487"
02/01/2021,361,27,"16,372","256,669","7,350","5,962,662"
12/14/2020,"2,782",36,"49,621","161,033","5,656","4,220,387"
12/03/2020,"2,781",32,"41,330","137,584","5,290","3,854,058"
01/12/2022,"7,417",35,"40,945","654,138","9,756","14,340,663"
06/16/2022,525,3,"9,221","819,599","11,031","16,566,662"
08/22/2021,269,5,"5,758","369,569","8,449","10,508,500"
02/07/2021,437,18,"11,648","263,727","7,491","6,169,425"
03/22/2020,154,5,694,"1,531",16,"8,563"
05/12/2021,297,5,"25,265","345,493","8,279","9,156,350"
10/18/2020,492,4,"10,858","65,480","4,602","2,273,817"
06/30/2020,154,3,"15,044","46,976","4,390","522,198"
06/21/2022,496,0,"7,053","822,202","11,034","16,601,561"
03/15/2021,"1,172",11,"41,938","294,246","7,922","7,348,346"
01/21/2022,"3,440",35,"27,674","693,284","10,129","14,606,699"
08/07/2021,420,5,"10,993","360,305","8,393","10,242,480"
03/17/2021,"1,223",7,"40,809","296,597","7,938","7,433,372"
07/17/2020,68,0,"12,993","48,493","4,445","713,035"
04/28/2021,631,6,"36,490","340,354","8,204","8,821,094"
06/12/2022,442,5,"4,718","816,876","11,024","16,523,949"
10/29/2020,980,10,"33,845","74,063","4,675","2,623,768"
03/27/2020,647,6,"2,222","4,212",46,"18,858"
07/19/2020,32,3,"6,110","48,574","4,449","723,117"
03/31/2020,882,24,"2,236","6,749",125,"25,392"
08/25/2021,825,2,"23,589","372,184","8,463","10,585,613"
08/04/2021,626,0,"20,923","358,695","8,385","10,192,656"
12/04/2021,"1,358",13,"18,597","439,537","9,015","12,931,653"
10/02/2021,324,7,"13,876","394,285","8,689","11,451,997"
10/13/2020,523,3,"29,439","63,103","4,573","2,169,612"
08/20/2020,129,0,"17,913","51,629","4,490","1,133,341"
10/25/2020,420,10,"10,508","69,979","4,640","2,464,722"
07/14/2020,108,2,"15,891","48,213","4,441","672,382"
