Town,Address,Tower Type,Height,Carrier #1,Carrier #2,Carrier #3,Carrier #4,Carrier #5,Unnamed_Column_10
Waterbury,*** Hillside Avenue,rooftop,,T-Mobile @ 106',,,,,
East Lyme,*** (***) Flanders Road,power mount,110,AT&T @ 107',,,,,
Meriden,** West Peak Dr,self-supporting lattice,150,"Verizon @ 98'6""",Sprint @ 60',T-Mobile @ 130',Nextel @ 115',,
Meriden,** Elm St.,rooftop,70,Verizon @ 68',,,,,
New Haven,*** (***) Whalley Avenue,rooftop,,T-Mobile @ 67',Verizon @ 45',AT&T @ 57',,,
Avon,*** Simsbury Road,rooftop,48,Verizon @ 48',,,,,
Waterbury,**** East Main Street,rooftop,,Sprint @ 47',Nextel @ 46',,,,
Woodbridge,**** Litchfield Turnpike,monopole,170,AT&T @ 167',,,,,
Manchester,** Batson Drive,water tank,,T-Mobile @ 90',,,,,
Middlefield,"Kikapoo Road, Mount Beseck",lattice pole,40,,,,,,
Colchester,Buckley Hill Rd,self-supporting lattice,200,dot @ 200',,,,,
Shelton,Howe Avenue,wood pole,60,ui @ 63',,,,,
North Canaan,** Lower Road,self-supporting lattice,195,Cingular @ 143',T-Mobile @ 125',,,,
New Milford,*** Danbury Road,flagpole,99,Verizon @ 77',T-Mobile @ 95' & 83',,,,
Norwich,*** Elizabeth Street,rooftop,,MetroPCS @ 50',,,,,
Plainfield,*** Norwich Road,monopole,130,Sprint @ 127',Cingular/AT&T @ 117',Verizon @ 104',,,
West Haven,*** Elm Street,utility pole,39,Verizon @ 39.5',,,,,
Manchester,*** Main Street,rooftop,,T-Mobile @ 50',,,,,
Hartford,*** Wells St.,rooftop,,T-Mobile @ 125',,,,,
Stamford,*** Tresser Boulevard,rooftop,,MetroPCS/T-Mobile @ 209',,,,,
New Haven,*** Peat Meadow Road,Billboard mounted monopole,70',Verizon @62' & 67',,,,,
Norwalk,** Willard Road,self-supporting lattice,350,Cingular @ 347',Sprint @ 240',AT&T/skytel @ 370'/200',pagenet @ 350',T-Mobile @ 262',ardis @ 354.5'
