Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Unnamed_Column_18,Unnamed_Column_19
MCP23540026,240030145,MONTGOMERY,Property Damage Crash,06/26/2024 03:10:00 AM,No,Bicycle Route,Westbound,Lane 1,1,North,20.73,FEET,Downhill,,,,,
Single Vehicle,Clear,Dry,Dark - Lighted,No Controls,"Unknown, Unknown",,Curb,Not Applicable,Crossover-Related,,Curve Left,No Defects,Not Divided,39.06505079,-77.03706703,"(39.06505079°, -77.03706703°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,Not Divided,39.05310983,-77.11089015,"(39.05310983°, -77.11089015°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,"Pedestrian Crossing, Traffic Control Signal","Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Angled/Skewed,Straight,No Defects,Not Divided,39.00903198,-77.04393352,"(39.00903198°, -77.04393352°)",,
MCP93010059,240030853,MONTGOMERY,Property Damage Crash,06/30/2024 06:00:00 AM,No,,,,0,,,FEET,,,,Parking Lot Way PARKING LOT OF 15730 SHADY GROVE ROAD,,
DD5538004H,240031233,ROCKVILLE,Property Damage Crash,07/02/2024 01:32:00 PM,,,,,0,,,FEET,,,,Parking Stall IN FRONT OF 302 KING FARM BLVD #140 ROCKVILLE MD 20850,,
Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Depressed Median",39.09567936,-76.93812906,"(39.09567936°, -76.93812906°)",,
Unknown,Clear,,Unknown,,"Unknown, Unknown",,Parked Vehicle,,,,,,,38.98751234,-77.09633212,"(38.98751234°, -77.09633212°)",,
DD56570022,240031239,ROCKVILLE,Property Damage Crash,07/02/2024 03:20:00 PM,No,Municipality Route,"Northbound, Westbound",Lane 1,1,South,7.94,FEET,Level,KING FARM BLVD,,,,
"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,Not Applicable,Through Roadway,,Straight,No Defects,"Divided, Raised Median (curbed)",38.9926453,-77.16182529,"(38.9926453°, -77.16182529°)",,
Single Vehicle,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Curb,Traffic Signal Support,Through Roadway,,Straight,No Defects,"Divided, Raised Median (curbed)",39.18550733,-77.1507435,"(39.18550733°, -77.1507435°)",,
EJ7902001C,240030298,GAITHERSBURG,Injury Crash,06/26/2024 09:47:00 PM,No,Maryland (State) Route,"Eastbound, Westbound","Lane 1, Lane 2","5, 7",East,0,FEET,Level,MONTGOMERY VILLAGE AVE,FREDERICK RD,,,
DD55200029,240030865,ROCKVILLE,Property Damage Crash,06/30/2024 10:00:00 AM,No,Municipality Route,Unknown,Lane 1,1,South,3.55,FEET,Hillcrest,AUTRE CT,,,,
MCP32440032,240030892,MONTGOMERY,Injury Crash,06/30/2024 01:04:00 PM,No,Ramp,Northbound,Lane 1,1,South,28.37,FEET,Level,RAMP 2 FR IS 495 WB TO MD 97 NB,,,,
MCP3126005M,240030915,MONTGOMERY,Injury Crash,06/30/2024 03:09:00 PM,,Interstate (State),Northbound,"Lane 1, Lane 2",4,North,339.46,FEET,Level,EISENHOWER MEMORIAL HWY,,,,
MCP2569001W,240030393,MONTGOMERY,Property Damage Crash,06/27/2024 01:40:00 PM,No,,,,0,,,FEET,,,,Parking Lot Way PARKING LOT OF 305 METROPOLITAN GROVE RD,,
MCP3261001B,240030308,MONTGOMERY,Injury Crash,06/26/2024 09:58:00 PM,No,County Route,Northbound,Lane 1,1,South,36.43,FEET,Level,WASHINGTON GROVE LA,,,,Pedestrian
Single Vehicle,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use","Not Suspect of Alcohol Use, Not Suspect of Drug Use",Other Non-Motorist,,Intersection or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (curbed)",39.03979415,-76.99075001,"(39.03979415°, -76.99075001°)",,
Angle,Rain,Wet,Dark - Lighted,Other,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed)",39.15257395,-77.21197393,"(39.15257395°, -77.21197393°)",,
Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,Motor Vehicle In Transport,,,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.10239294,-77.14209388,"(39.10239294°, -77.14209388°)",,
Single Vehicle,Clear,Dry,Dark - Lighted,Stop Sign,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Embankmenth,Not Applicable,Intersection or Related,Perpendicular,Straight,No Defects,Not Divided,39.20368387,-77.1873513,"(39.20368387°, -77.1873513°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Not Applicable,Intersection or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (curbed)",39.12279121,-77.17754359,"(39.12279121°, -77.17754359°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,Not Divided,38.97911383,-77.09863691,"(38.97911383°, -77.09863691°)",,
Single Vehicle,Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use","Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Motor Vehicle In Transport,,,,No Defects,,39.19829218,-77.25145092,"(39.19829218°, -77.25145092°)",,
Angle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Driveway Access or Related,,Straight,No Defects,"Divided, Depressed Median, Divided, Raised Median (curbed)",39.19266237,-77.24302306,"(39.19266237°, -77.24302306°)",,
MCP3264004B,240030898,MONTGOMERY,Property Damage Crash,06/30/2024 01:29:00 PM,No,US (State),Not On Roadway,Other,3,East,16.08,FEET,Level,GEORGIA AVE (SB/L),,,,Cyclist (non-electric)
"Sideswipe, Same Direction",Clear,,Dark - Not Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,Not Divided,39.01824632,-77.07873607,"(39.01824632°, -77.07873607°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Non-Junction,,Straight,No Defects,"Divided, Depressed Median",39.07187614,-76.95671553,"(39.07187614°, -76.95671553°)",,
