County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Unnamed_Column_10
BRONX,758170,Store,A,NEW STOP GROCERY INC,NEW STOP GROCERY,120,E 157TH STREET,,
QUEENS,759056,Store,JAC,J & J SUPER MARKET CORP,J & J SUPER MARKET,147-26,BROOKVILLE BLVD,,
MONROE,759716,Store,JAC,WNY FAIRPORT INC,CORNER MARKET,110,S MAIN ST,,
KINGS,759039,Store,JAC,3442 DELI MINI MARKET CORP,3442 DELI MINI MARKET,3442,FULTON STREET,,
ORANGE,759058,Store,JACH,GREENWOOD LAKE ROASTERS LLC,GREENWOOD LAKE ROASTERS,58,WINDERMERE AVE,,
SUFFOLK,758542,Store,A,CULINART INC,SBU ADMIN CART,,SHIRLEY KENNY DR,ADMIN BLDG,
CHEMUNG,758293,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24584,165,DANIEL ZENKER DR,,
KINGS,759032,Store,JAC,ZAMZAM GROCERY & MEATS LLC,ZAMZAM GROCERY & MEATS,1101,CONEY ISLAND AVE,,
BROOME,758330,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24536,6946,STATE RT 17C,,
RICHMOND,758338,Store,JAC,MI PUEBLO CUISINE & PANADERIA CORP,MI PUEBLO CUISINE & PANADERIA,166,MORNINGSTAR RD,,
QUEENS,759710,Store,A,BO LUO INC,BO LUO,4120,MAIN STREET B1,,
QUEENS,759660,Store,A,UNION TPK PETROLEUM LLC,UNION TPK PETROLEUM,164-05,UNION TPKE,,
SULLIVAN,759385,Store,JAC,HIJOS DE VILLA LLC,HIJOS DEVILLA,117,SOUTH MAIN STREET,,
NASSAU,758524,Store,JAC,NASSAU DELI INC,NASSAU DELI,168B,JACKSON ST,,
SUFFOLK,758510,Store,A,Y NORTHPORT GAS CORP,CONOCO,1905,E JERICHO TPKE,,
BRONX,758904,Store,A,CULINART INC,BALDOR SPECIALTY FOODS,155,FOOD CENTER DRIVE,,
