the_geom,OBJECTID,Rec_Type,Site_Num,Fac_Type,Loc_Id,Eff_Date,Region_Cod,Field_Offi,State_Post,State_Name,County,County_Pos,City,Fac_Name,Owner_Type,Fac_Use,Owner_Name,Owner_Addr,Owner_City,Owner_Phon,Manager_Na,Manager_Ad,Extra_Column_1,Extra_Column_2
POINT (-77.08511666690545 26.51012777773246),19828,APT,90727.*A,AIRPORT,MYAM,7/16/2020,,NONE,,,BAHAMAS,BS,MARSH HARBOUR,LEONARD M THOMPSON INTL,PU,PU,,,,,DEPARTMENT OF CIVIL AVIATION,,,1-242-367-5500
POINT (-124.88666666664308 49.71083333275737),19748,APT,90041.*A,AIRPORT,CYQQ,7/16/2020,,SEA,,,"B.C., CANADA",CN,COMOX,COMOX,PR,PR,CANADA,,,,CANADIAN MILITARY,,,DND-250-339-8231
POINT (-82.95764852760186 42.27586419409519),19812,APT,90506.*A,AIRPORT,CYQG,7/16/2020,,NONE,,,"ONTARIO, CANADA",CN,WINDSOR,WINDSOR,PU,PU,,,,,,,,
POINT (-104.4310672224387 40.10831555601567),2815,APT,02646.63*A,AIRPORT,CO60,7/16/2020,ANM,DEN,CO,COLORADO,WELD,CO,KEENESBURG,HORSESHOE LANDINGS,PR,PR,STEVE BENSON,33245 WCR 16,"KEENSBURG, CO 80643",303-732-4483,,,,
POINT (-97.40537083336345 46.76386333328385),10725,APT,17285.751*A,AIRPORT,8ND5,7/16/2020,AGL,DMA,ND,NORTH DAKOTA,CASS,ND,CHAFFEE,AUSK STRIP,PR,PR,HARVEY J. AUSK,,"ALICE, ND 58083",701-347-4944,,,,
POINT (-92.01044833308654 39.460594444271585),9489,APT,11999.52*A,AIRPORT,MU40,7/16/2020,ACE,NONE,MO,MISSOURI,MONROE,MO,PARIS,LAKE VILLAGE,PR,PR,LAKE VILLAGE,HWY 15 S,"PARIS, MO 65275",816-327-5151,,,,
POINT (-78.17834944431728 42.99339333286789),12050,APT,14858.2*H,HELIPORT,21NY,7/16/2020,AEA,NYC,NY,NEW YORK,GENESEE,NY,BATAVIA,GAUTIERI,PR,PR,VITO J. GAUTIERI,45 LIBERTY ST,"BATAVIA, NY 14020",716-343-0852,,,,
POINT (-85.02391888925087 43.86418916672663),8430,APT,09993.97*A,AIRPORT,07MI,7/16/2020,AGL,DET,MI,MICHIGAN,CLARE,MI,LAKE,SCOTT AIRSTRIP,PR,PR,,,,,RUSS HEFFRON,8505 SHORT STREET,"LAKE, MI 48632",989-339-5290
POINT (-82.5395666672884 36.20873333307094),15632,APT,23223.1*A,AIRPORT,TN02,7/16/2020,ASO,NONE,TN,TENNESSEE,WASHINGTON,TN,TELFORD,TELFORD OVERLOOK FERGUSON FIELD,PR,PR,MARVIN FERGUSON,190 BROWNING ROAD,"TELFORD, TN 37690",423-791-0036,,,,
POINT (-99.86564833327229 33.41953888907938),16755,APT,24174.11*A,AIRPORT,4TX7,7/16/2020,ASW,TEX,TX,TEXAS,KNOX,TX,KNOX CITY,OLIVER,PR,PR,JOANN ASHER,"ROUTE 2, BOX 194B","CLYDE, TX 79510-9627",,,,,
