uid,area,outages,dt_stamp
206032024-06-17T11:00:39,20603,4,2024 Jun 17 11:00:39 AM
206182024-06-17T11:00:39,20618,3,2024 Jun 17 11:00:39 AM
206572024-06-17T11:00:39,20657,4,2024 Jun 17 11:00:39 AM
206842024-06-17T11:00:39,20684,2,2024 Jun 17 11:00:39 AM
207112024-06-17T11:00:39,20711,4,2024 Jun 17 11:00:39 AM
207352024-06-17T11:00:39,20735,4,2024 Jun 17 11:00:39 AM
207432024-06-17T11:00:39,20743,4,2024 Jun 17 11:00:39 AM
207722024-06-17T11:00:39,20772,4,2024 Jun 17 11:00:39 AM
207842024-06-17T11:00:39,20784,4,2024 Jun 17 11:00:39 AM
207852024-06-17T11:00:39,20785,4,2024 Jun 17 11:00:39 AM
208162024-06-17T11:00:39,20816,26,2024 Jun 17 11:00:39 AM
208522024-06-17T11:00:39,20852,4,2024 Jun 17 11:00:39 AM
208542024-06-17T11:00:39,20854,4,2024 Jun 17 11:00:39 AM
208822024-06-17T11:00:39,20882,1,2024 Jun 17 11:00:39 AM
209022024-06-17T11:00:39,20902,4,2024 Jun 17 11:00:39 AM
209032024-06-17T11:00:39,20903,4,2024 Jun 17 11:00:39 AM
210302024-06-17T11:00:39,21030,6,2024 Jun 17 11:00:39 AM
210432024-06-17T11:00:39,21043,6,2024 Jun 17 11:00:39 AM
210752024-06-17T11:00:39,21075,4,2024 Jun 17 11:00:39 AM
210842024-06-17T11:00:39,21084,4,2024 Jun 17 11:00:39 AM
210932024-06-17T11:00:39,21093,4,2024 Jun 17 11:00:39 AM
211132024-06-17T11:00:39,21113,4,2024 Jun 17 11:00:39 AM
211402024-06-17T11:00:39,21140,4,2024 Jun 17 11:00:39 AM
212012024-06-17T11:00:39,21201,492,2024 Jun 17 11:00:39 AM
206572024-06-17T11:15:37,20657,4,2024 Jun 17 11:15:37 AM
206952024-06-17T11:15:37,20695,4,2024 Jun 17 11:15:37 AM
207112024-06-17T11:15:37,20711,4,2024 Jun 17 11:15:37 AM
207352024-06-17T11:15:37,20735,4,2024 Jun 17 11:15:37 AM
207432024-06-17T11:15:37,20743,4,2024 Jun 17 11:15:37 AM
207722024-06-17T11:15:37,20772,4,2024 Jun 17 11:15:37 AM
207852024-06-17T11:15:37,20785,4,2024 Jun 17 11:15:37 AM
208162024-06-17T11:15:37,20816,26,2024 Jun 17 11:15:37 AM
208522024-06-17T11:15:37,20852,4,2024 Jun 17 11:15:37 AM
208542024-06-17T11:15:37,20854,4,2024 Jun 17 11:15:37 AM
208722024-06-17T11:15:37,20872,1,2024 Jun 17 11:15:37 AM
208822024-06-17T11:15:37,20882,1,2024 Jun 17 11:15:37 AM
209022024-06-17T11:15:37,20902,4,2024 Jun 17 11:15:37 AM
209032024-06-17T11:15:37,20903,4,2024 Jun 17 11:15:37 AM
210302024-06-17T11:15:37,21030,6,2024 Jun 17 11:15:37 AM
210342024-06-17T11:15:37,21034,2,2024 Jun 17 11:15:37 AM
210432024-06-17T11:15:37,21043,6,2024 Jun 17 11:15:37 AM
